word_list,shape,corr_ans,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,text_3.started,key_resp.started,Instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Instruction2.started,text_5.started,key_resp_2.started,Instruction2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,wordpresentation.started,WordDisplay.started,text_2.started,WordDisplay.stopped,text_2.stopped,wordpresentation.stopped,ShapeNback.started,shapeStim.started,NbackResponse.started,shapeStim.stopped,text_6.started,ShapeNback.stopped,NbackResponse.keys,NbackResponse.corr,NbackResponse.rt,NbackResponse.duration,text_6.stopped,NbackResponse.stopped,RecallPhase.started,text.started,textbox.started,text_4.started,mouse.started,RecallPhase.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.004334499943070114,0.011997599969618022,0.011997599969618022,2.166313999914564,space,2.1405881999526173,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335170,001,2024-12-04_11h35.22.651,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h35.37.676727 +0530,
,,,,,,,,,,,,,,,,,,,,2.166450700024143,2.1861054999753833,2.1861054999753833,2.607453199918382,space,0.4120405000867322,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335170,001,2024-12-04_11h35.22.651,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h35.37.676727 +0530,
bottle,circle,n,0,0,0,0,,,,,2.6651861999416724,,,,,,,,,,,,,,,,2.642627299996093,2.6651861999416724,4.6194007999729365,4.669331599958241,6.119861299986951,6.104060799931176,6.104120099917054,6.119861299986951,6.119861299986951,6.619035599986091,6.619035599986091,7.305411599925719,n,1,1.1812933000037447,None,,,,,,,,,,,,,,,,,335170,001,2024-12-04_11h35.22.651,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h35.37.676727 +0530,
chair,square,n,0,1,1,1,,,,,7.358980999910273,,,,,,,,,,,,,,,,7.307915100012906,7.358980999910273,9.319113399949856,9.36917919991538,10.819179799989797,10.80408599996008,10.804143899935298,10.819179799989797,10.819179799989797,11.319084899965674,11.319084899965674,12.803712000022642,None,0,,,12.82105359993875,12.82105359993875,,,,,,,,,,,,,,,335170,001,2024-12-04_11h35.22.651,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h35.37.676727 +0530,
book,square,n,0,2,2,2,,,,,12.82105359993875,,,,,,,,,,,,,,,,12.805135099915788,12.82105359993875,14.818606499931775,14.835405000019819,16.31856009992771,16.303299799910747,16.30335850000847,16.31856009992771,16.31856009992771,16.81831170001533,16.81831170001533,17.238828199915588,n,1,0.9158326999749988,None,,,,,,,,,,,,,,,,,335170,001,2024-12-04_11h35.22.651,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h35.37.676727 +0530,
lamp,triangle,n,0,3,3,3,,,,,17.264022000017576,,,,,,,,,,,,,,,,17.24091159994714,17.264022000017576,19.251527999993414,19.268158399965614,20.751198799931444,20.736094099935144,20.7361531999195,20.751198799931444,20.751198799931444,,,21.054099899949506,n,1,0.29872940003406256,None,,,,,,,,,,,,,,,,,335170,001,2024-12-04_11h35.22.651,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h35.37.676727 +0530,
clock,square,y,0,4,4,4,,,,,21.080946899950504,,,,,,,,,,,,,,,,21.055967399966903,21.080946899950504,23.06744070001878,23.0841237999266,24.56760079995729,24.55233919993043,24.552396100014448,24.56760079995729,24.56760079995729,25.06729679997079,25.06729679997079,25.120258799986914,y,1,0.5442845999496058,None,,,,,,,,,,,,,,,,,335170,001,2024-12-04_11h35.22.651,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h35.37.676727 +0530,
pen,circle,n,0,5,5,5,,,,,25.146222100011073,,,,,,,,,,,,,,,,25.12218079995364,25.146222100011073,27.133738199947402,27.150463599944487,28.633570899954066,28.618239199975505,28.61829759995453,28.633570899954066,28.633570899954066,,,28.96958219993394,n,1,0.3227002000203356,None,,,,,,,,,,,,,,,,,335170,001,2024-12-04_11h35.22.651,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h35.37.676727 +0530,
phone,square,y,0,6,6,6,,,,,28.994891499984078,,,,,,,,,,,,,,,,28.97150999994483,28.994891499984078,30.983364299987443,30.999817200005054,32.483377199969254,32.46809769992251,32.46816349995788,32.483377199969254,32.483377199969254,,,32.669129799935035,n,0,0.17503869999200106,None,,,,,,,,,,,,,,,,,335170,001,2024-12-04_11h35.22.651,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h35.37.676727 +0530,
pencil,triangle,n,0,7,7,7,,,,,32.699912399984896,,,,,,,,,,,,,,,,32.671314999926835,32.699912399984896,34.682953999959864,34.69960659998469,36.182472400018014,36.16774860001169,36.167798599926755,36.182472400018014,36.182472400018014,36.68259420001414,36.68259420001414,38.16717949998565,None,0,,,38.187286900007166,38.187286900007166,,,,,,,,,,,,,,,335170,001,2024-12-04_11h35.22.651,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h35.37.676727 +0530,
