word_list,shape,corr_ans,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,text_3.started,key_resp.started,Instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Instruction2.started,text_5.started,key_resp_2.started,Instruction2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,wordpresentation.started,WordDisplay.started,text_2.started,WordDisplay.stopped,text_2.stopped,wordpresentation.stopped,ShapeNback.started,shapeStim.started,NbackResponse.started,shapeStim.stopped,text_6.started,ShapeNback.stopped,NbackResponse.keys,NbackResponse.corr,NbackResponse.rt,NbackResponse.duration,text_6.stopped,NbackResponse.stopped,RecallPhase.started,text.started,textbox.started,text_4.started,mouse.started,RecallPhase.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.003928699996322393,0.009484200039878488,0.009484200039878488,3.1776649000821635,space,3.1417603000300005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2024-12-04_11h40.42.608,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h41.00.306028 +0530,
,,,,,,,,,,,,,,,,,,,,3.177768800058402,3.1892524000722915,3.1892524000722915,4.203105200082064,space,0.9972918999847025,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2024-12-04_11h40.42.608,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h41.00.306028 +0530,
bottle,circle,n,0,0,0,0,,,,,4.254027100047097,,,,,,,,,,,,,,,,4.237607300048694,4.254027100047097,6.2142486000666395,6.2642481999937445,7.714231100049801,7.699066000059247,7.699135700007901,7.714231100049801,7.714231100049801,8.213824600097723,8.213824600097723,8.83380720007699,n,1,1.1124098000582308,None,,,,,,,,,,,,,,,,,005,001,2024-12-04_11h40.42.608,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h41.00.306028 +0530,
chair,square,n,0,1,1,1,,,,,8.88909720000811,,,,,,,,,,,,,,,,8.836687200004235,8.88909720000811,10.847233100095764,10.897070500068367,12.34730370005127,12.332548700040206,12.332614400074817,12.34730370005127,12.34730370005127,,,12.766509900102392,n,1,0.4044821000425145,None,,,,,,,,,,,,,,,,,005,001,2024-12-04_11h40.42.608,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h41.00.306028 +0530,
book,square,n,0,2,2,2,,,,,12.785989299998619,,,,,,,,,,,,,,,,12.768496800097637,12.785989299998619,14.780159700079821,14.796826900099404,16.279974700068124,16.265012200106867,16.265097900060937,16.279974700068124,16.279974700068124,16.780000300030224,16.780000300030224,17.70006350008771,n,1,1.4103053999133408,None,,,,,,,,,,,,,,,,,005,001,2024-12-04_11h40.42.608,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h41.00.306028 +0530,
lamp,triangle,n,0,3,3,3,,,,,17.72678370005451,,,,,,,,,,,,,,,,17.702379600028507,17.72678370005451,19.71233010001015,19.72915060003288,21.21214770001825,21.197225900017656,21.197297800099477,21.21214770001825,21.21214770001825,21.71216390002519,21.71216390002519,21.881996500073,n,1,0.6630246000131592,None,,,,,,,,,,,,,,,,,005,001,2024-12-04_11h40.42.608,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h41.00.306028 +0530,
clock,square,y,0,4,4,4,,,,,21.909144500037655,,,,,,,,,,,,,,,,21.884321800083853,21.909144500037655,23.895267600077204,23.911738599999808,25.39494350005407,25.380092700012028,25.380156800034456,25.39494350005407,25.39494350005407,25.89520850009285,25.89520850009285,26.614872200065292,y,1,1.2102429999504238,None,,,,,,,,,,,,,,,,,005,001,2024-12-04_11h40.42.608,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h41.00.306028 +0530,
pen,circle,n,0,5,5,5,,,,,26.64159750007093,,,,,,,,,,,,,,,,26.617490900098346,26.64159750007093,28.628660900052637,28.645261400029995,30.128285900107585,30.113111400045455,30.113166600000113,30.128285900107585,30.128285900107585,30.633785900077783,30.633785900077783,30.61461040005088,n,1,0.4713116999482736,None,,,,,,,,,,,,,,,,,005,001,2024-12-04_11h40.42.608,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h41.00.306028 +0530,
phone,square,y,0,6,6,6,,,,,30.633785900077783,,,,,,,,,,,,,,,,30.616608700016513,30.633785900077783,32.62792940007057,32.64455090009142,34.12791430007201,34.11270650010556,34.112770000007,34.12791430007201,34.12791430007201,,,34.2811949000461,y,1,0.14866980002261698,None,,,,,,,,,,,,,,,,,005,001,2024-12-04_11h40.42.608,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h41.00.306028 +0530,
pencil,triangle,n,0,7,7,7,,,,,34.31119840010069,,,,,,,,,,,,,,,,34.28348530002404,34.31119840010069,36.29420520004351,36.310722100082785,37.79412650002632,37.77930720010772,37.77937210001983,37.79412650002632,37.79412650002632,,,38.17993710003793,n,1,0.3706430000020191,None,,,,,,,,,,,,,,,,,005,001,2024-12-04_11h40.42.608,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h41.00.306028 +0530,
