word_list,shape,corr_ans,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,text_3.started,key_resp.started,Instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Instruction2.started,text_5.started,key_resp_2.started,Instruction2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,wordpresentation.started,WordDisplay.started,text_2.started,WordDisplay.stopped,text_2.stopped,wordpresentation.stopped,ShapeNback.started,shapeStim.started,NbackResponse.started,shapeStim.stopped,text_6.started,ShapeNback.stopped,NbackResponse.keys,NbackResponse.corr,NbackResponse.rt,NbackResponse.duration,text_6.stopped,NbackResponse.stopped,RecallPhase.started,text.started,textbox.started,text_4.started,mouse.started,RecallPhase.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
laptop,circle,n,0,8,8,8,,,,,38.19945780001581,,,,,,,,,,,,,,,,38.18189770006575,38.19945780001581,40.19363500003237,40.21043080009986,41.693609500071034,41.67811130010523,41.6781688000774,41.693609500071034,41.693609500071034,42.19325700006448,42.19325700006448,43.645849400083534,n,1,1.9379969999426976,None,,,,,,,,,,,,,,,,,005,001,2024-12-04_11h40.42.608,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h41.00.306028 +0530,
bag,triangle,y,0,9,9,9,,,,,43.67280650010798,,,,,,,,,,,,,,,,43.647762400098145,43.67280650010798,45.65946660004556,45.67618280008901,47.15965510008391,47.14459650008939,47.144720400101505,47.15965510008391,47.15965510008391,47.65940790006425,47.65940790006425,48.74543980008457,y,1,1.5824456999544054,None,,,,,,,,,,,,,,,,,005,001,2024-12-04_11h40.42.608,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h41.00.306028 +0530,
cover,circle,y,0,10,10,10,,,,,48.77262230007909,,,,,,,,,,,,,,,,48.747395100072026,48.77262230007909,50.75885169999674,50.77558710006997,52.25872490007896,52.24345200008247,52.24350850004703,52.25872490007896,52.25872490007896,52.75854690000415,52.75854690000415,53.62782530009281,y,1,1.3580806999234483,None,,,,,,,,,,,,,,,,,005,001,2024-12-04_11h40.42.608,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h41.00.306028 +0530,
plant,square,n,0,11,11,11,,,,,53.65333660005126,,,,,,,,,,,,,,,,53.62975640001241,53.65333660005126,55.64168070000596,55.658232400077395,57.14159900008235,57.126557400100864,57.12664300005417,57.14159900008235,57.14159900008235,57.64139610005077,57.64139610005077,59.125880300067365,None,0,,,59.144721100106835,59.144721100106835,,,,,,,,,,,,,,,005,001,2024-12-04_11h40.42.608,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h41.00.306028 +0530,
key,square,n,0,12,12,12,,,,,59.144721100106835,,,,,,,,,,,,,,,,59.12741900002584,59.144721100106835,61.140936900046654,61.15778420004062,62.640797000029124,62.62601000000723,62.62608459999319,62.640797000029124,62.640797000029124,63.140609099995345,63.140609099995345,64.62536220008042,None,0,,,64.64328980003484,64.64328980003484,,,,,,,,,,,,,,,005,001,2024-12-04_11h40.42.608,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h41.00.306028 +0530,
window,square,y,0,13,13,13,,,,,64.64328980003484,,,,,,,,,,,,,,,,64.6268424000591,64.64328980003484,66.64032450004015,66.65689000010025,68.14007790002506,68.12472720001824,68.12478380009998,68.14007790002506,68.14007790002506,68.63975790003315,68.63975790003315,68.94359989999793,y,1,0.784296500030905,None,,,,,,,,,,,,,,,,,005,001,2024-12-04_11h40.42.608,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h41.00.306028 +0530,
notebook,triangle,n,0,14,14,14,,,,,68.96410270000342,,,,,,,,,,,,,,,,68.94558200007305,68.96410270000342,70.95652190002147,70.97299680009019,72.45606550003868,72.44077560002916,72.44083229999524,72.45606550003868,72.45606550003868,,,72.79217560007237,n,1,0.3234128000913188,None,,,,,,,,,,,,,,,,,005,001,2024-12-04_11h40.42.608,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h41.00.306028 +0530,
,,,,,,,0,0,0,0,72.83273530006409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.7958269000519,72.83273530006409,72.83273530006409,72.83273530006409,0.004445899976417422,79.17489310004748,laptop,[-0.07314814814814814],[-0.2935185185185185],[1],[0],[0],[6.37585059995763],['text_4'],005,001,2024-12-04_11h40.42.608,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h41.00.306028 +0530,
,,,,,,,1,0,1,0,79.20213039999362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.17842230002861,79.20213039999362,79.20213039999362,79.20213039999362,0.001506800064817071,83.79303640010767,chair,[0.07592592592592592],[-0.30277777777777776],[1],[0],[0],[4.612222400028259],['text_4'],005,001,2024-12-04_11h40.42.608,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h41.00.306028 +0530,
,,,,,,,2,0,2,0,83.82877750007901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.79641670000274,83.82877750007901,83.82877750007901,83.82877750007901,0.002481500036083162,89.16077120008413,window,[0.021296296296296296],[-0.30277777777777776],[1],[0],[0],[5.361019899952225],['text_4'],005,001,2024-12-04_11h40.42.608,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h41.00.306028 +0530,
,,,,,,,3,0,3,0,89.19838790001813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.16429860005155,89.19838790001813,89.19838790001813,89.19838790001813,0.0027660999912768602,93.60015519999433,clock,[0.03518518518518519],[-0.30277777777777776],[1],[0],[0],[4.432215999928303],['text_4'],005,001,2024-12-04_11h40.42.608,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h41.00.306028 +0530,
,,,,,,,4,0,4,0,93.63802980002947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.60483110009227,93.63802980002947,93.63802980002947,93.63802980002947,0.0027074000099673867,96.89095220004674,book,[0.05740740740740741],[-0.30277777777777776],[1],[0],[0],[3.2826864999951795],['text_4'],005,001,2024-12-04_11h40.42.608,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h41.00.306028 +0530,
,,,,,,,5,0,5,0,96.92691929999273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.89444490009919,96.92691929999273,96.92691929999273,96.92691929999273,0.0027133000548928976,101.98108020005748,bottle,[0.05740740740740741],[-0.30277777777777776],[1],[0],[0],[5.083048000000417],['text_4'],005,001,2024-12-04_11h40.42.608,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h41.00.306028 +0530,
,,,,,,,6,0,6,0,102.02574880002066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.98606370005291,102.02574880002066,102.02574880002066,102.02574880002066,0.0032843000954017043,105.5878826000262,window,[0.08055555555555556],[-0.3037037037037037],[1],[0],[0],[3.598118199966848],['text_4'],005,001,2024-12-04_11h40.42.608,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h41.00.306028 +0530,
,,,,,,,,,,,105.61032950005028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.58999890007544,105.61032950005028,105.61032950005028,105.61032950005028,0.0018173001008108258,,,,,,,,,,,,,,,,,
