word_list,shape,corr_ans,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,text_3.started,key_resp.started,Instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Instruction2.started,text_5.started,key_resp_2.started,Instruction2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,wordpresentation.started,WordDisplay.started,text_2.started,WordDisplay.stopped,text_2.stopped,wordpresentation.stopped,ShapeNback.started,shapeStim.started,NbackResponse.started,ShapeNback.stopped,NbackResponse.keys,NbackResponse.corr,NbackResponse.rt,NbackResponse.duration,shapeStim.stopped,text_6.started,text_6.stopped,NbackResponse.stopped,RecallPhase.started,text.started,textbox.started,text_4.started,mouse.started,RecallPhase.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
cover,circle,y,0,10,10,10,,,,,57.102402300108224,,,,,,,,,,,,,,,,57.077186900074594,57.102402300108224,59.0885742000537,59.105047800112516,60.5884676000569,60.57343760004733,60.57350500009488,60.5884676000569,60.5884676000569,61.241781100048684,y,1,0.6500659000594169,None,61.08799640007783,61.08799640007783,,,,,,,,,,,,,,,,,002,001,2024-12-04_11h32.55.039,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h33.07.702610 +0530,
plant,square,n,0,11,11,11,,,,,61.26885510003194,,,,,,,,,,,,,,,,61.243740200065076,61.26885510003194,63.254499200033024,63.27123830001801,64.75412830000278,64.73929990001488,64.73936600005254,64.75412830000278,64.75412830000278,65.2409164001001,n,1,0.4797348000574857,None,65.26711860008072,65.26711860008072,,,,,,,,,,,,,,,,,002,001,2024-12-04_11h32.55.039,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h33.07.702610 +0530,
key,square,n,0,12,12,12,,,,,65.26711860008072,,,,,,,,,,,,,,,,65.24316960002761,65.26711860008072,67.25432610011194,67.27106590010226,68.75460210000165,68.73954100010451,68.7396538000321,68.75460210000165,68.75460210000165,69.37364540004637,n,1,0.6143144000088796,None,69.25422410003375,69.25422410003375,,,,,,,,,,,,,,,,,002,001,2024-12-04_11h32.55.039,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h33.07.702610 +0530,
window,square,y,0,13,13,13,,,,,69.40012410003692,,,,,,,,,,,,,,,,69.37548440007959,69.40012410003692,71.38730920001399,71.40396060002968,72.88720600004308,72.87185110000428,72.87191550002899,72.88720600004308,72.88720600004308,74.3572791001061,n,0,1.465169299975969,None,73.38698570011184,73.38698570011184,,,,,,,,,,,,,,,,,002,001,2024-12-04_11h32.55.039,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h33.07.702610 +0530,
notebook,triangle,n,0,14,14,14,,,,,74.38529290002771,,,,,,,,,,,,,,,,74.35939930006862,74.38529290002771,76.36988290003501,76.38666320010088,77.86977810005192,77.85454720002599,77.85460320010316,77.86977810005192,77.86977810005192,78.40613220003434,n,1,0.5324445000151172,None,78.3696012001019,78.3696012001019,,,,,,,,,,,,,,,,,002,001,2024-12-04_11h32.55.039,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h33.07.702610 +0530,
,,,,,,,0,0,0,0,78.46357530006208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.409774400061,78.46357530006208,78.46357530006208,78.46357530006208,0.004335799952968955,92.03796200000215,notebook,[0.012037037037037037],[-0.30092592592592593],[1],[0],[0],[13.624740600003861],['text_4'],002,001,2024-12-04_11h32.55.039,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h33.07.702610 +0530,
,,,,,,,1,0,1,0,92.07773670007009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.04301410005428,92.07773670007009,92.07773670007009,92.07773670007009,0.0023747000377625227,94.94158169999719,window,[0.012037037037037037],[-0.30092592592592593],[1],[0],[0],[2.8955125000793487],['text_4'],002,001,2024-12-04_11h32.55.039,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h33.07.702610 +0530,
,,,,,,,2,0,2,0,94.96769780002069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.94600910006557,94.96769780002069,94.96769780002069,94.96769780002069,0.0023281999165192246,105.36546900006942,chair,[0.012037037037037037],[-0.30092592592592593],[1],[0],[0],[10.416010499931872],['text_4'],002,001,2024-12-04_11h32.55.039,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h33.07.702610 +0530,
,,,,,,,3,0,3,0,105.40382380003575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.37012160010636,105.40382380003575,105.40382380003575,105.40382380003575,0.002847100025974214,109.99222230003215,laptop,[0.06296296296296296],[-0.3055555555555556],[1],[0],[0],[4.619157399982214],['text_4'],002,001,2024-12-04_11h32.55.039,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h33.07.702610 +0530,
,,,,,,,4,0,4,0,110.02015050000045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.9947458000388,110.02015050000045,110.02015050000045,110.02015050000045,0.0019335000542923808,112.63337720010895,clock,[0.06296296296296296],[-0.3055555555555556],[1],[0],[0],[2.635686800000258],['text_4'],002,001,2024-12-04_11h32.55.039,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h33.07.702610 +0530,
,,,,,,,5,0,5,0,112.67036680004094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.63710340007674,112.67036680004094,112.67036680004094,112.67036680004094,0.0028325000312179327,116.55565070000011,key,[0.08055555555555556],[-0.30462962962962964],[1],[0],[0],[3.915215800050646],['text_4'],002,001,2024-12-04_11h32.55.039,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h33.07.702610 +0530,
,,,,,,,,,,,116.59357840009034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.5594191000564,116.59357840009034,116.59357840009034,116.59357840009034,0.0025042000925168395,,,,,,,,,,,,,,,,,
