trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,Fixation.started,target.started,mouse.started,Fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.2284419000006892,,0.057163800000125775,5,0.2284419000006892,0.2284419000006892,0.1799036000011256,1.268496900000173,5.855504700000893,[-0.36142857142857143],[-0.2671428571428571],[1],[0],[0],[5.673638399999618],[],282831,001,2024-10-04_10h10.46.926,Session5_VisualSearch,2024.1.5,None,2024-10-04 10h10.54.490419 +0530,
1,0,1,0,5.986364300000787,,5.860339000000749,5,5.986364300000787,5.986364300000787,0.07337169999846083,7.052450200000749,9.040162999999666,[0.29714285714285715],[0.27],[1],[0],[0],[3.1060216999994736],['target'],282831,001,2024-10-04_10h10.46.926,Session5_VisualSearch,2024.1.5,None,2024-10-04 10h10.54.490419 +0530,
2,0,2,0,9.267932000000656,,9.044755500000974,10,9.267932000000656,9.267932000000656,0.14740830000118876,10.36759610000081,11.026816400000826,[-0.38142857142857145],[-0.12571428571428572],[1],[0],[0],[1.8341891000000032],['target'],282831,001,2024-10-04_10h10.46.926,Session5_VisualSearch,2024.1.5,None,2024-10-04 10h10.54.490419 +0530,
3,0,3,0,11.166632200000095,,11.032481500000358,5,11.166632200000095,11.166632200000095,0.09905410000101256,12.21769680000034,13.187409100000878,[-0.44285714285714284],[-0.4157142857142857],[1],[0],[0],[2.0558370999988256],['target'],282831,001,2024-10-04_10h10.46.926,Session5_VisualSearch,2024.1.5,None,2024-10-04 10h10.54.490419 +0530,
4,0,4,0,13.317156999999497,,13.19078780000018,5,13.317156999999497,13.317156999999497,0.07310990000041784,14.367690900000525,14.753753799999686,[-0.23857142857142857],[0.24714285714285714],[1],[0],[0],[1.4894394000002649],['target'],282831,001,2024-10-04_10h10.46.926,Session5_VisualSearch,2024.1.5,None,2024-10-04 10h10.54.490419 +0530,
