trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,Fixation.started,target.started,mouse.started,Fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.30830820000119274,,0.03317820000120264,10,0.30830820000119274,0.30830820000119274,0.25105380000059085,1.3871568000013212,3.1725920000008045,[0.41],[-0.27],[1],[0],[0],[2.9205142999999225],['target'],153976,001,2024-10-04_10h24.55.035,Session5_VisualSearch,2024.1.5,None,2024-10-04 10h25.00.941829 +0530,
1,0,1,0,3.236096100001305,,3.175292100000661,5,3.236096100001305,3.236096100001305,0.03918829999929585,4.254316500000641,4.64325800000006,[0.32166666666666666],[-0.335],[1],[0],[0],[1.4276502000011533],['target'],153976,001,2024-10-04_10h24.55.035,Session5_VisualSearch,2024.1.5,None,2024-10-04 10h25.00.941829 +0530,
2,0,2,0,4.753244800000175,,4.646853400001419,5,4.753244800000175,4.753244800000175,0.07892130000072939,5.787546500001554,7.158035300000847,[-0.015],[0.018333333333333333],[1],[0],[0],[2.432002300000022],['target'],153976,001,2024-10-04_10h24.55.035,Session5_VisualSearch,2024.1.5,None,2024-10-04 10h25.00.941829 +0530,
3,0,3,0,7.302454399999988,,7.161163100001431,10,7.302454399999988,7.302454399999988,0.11032770000019809,8.387482100000852,9.340493100000458,[0.4633333333333333],[-0.285],[1],[0],[0],[2.0681921999985207],['target'],153976,001,2024-10-04_10h24.55.035,Session5_VisualSearch,2024.1.5,None,2024-10-04 10h25.00.941829 +0530,
4,0,4,0,9.452220099999977,,9.344255900001372,5,9.452220099999977,9.452220099999977,0.0757396000008157,10.469430300001477,10.922088799999983,[0.05],[-0.2833333333333333],[1],[0],[0],[1.5018720000007306],['target'],153976,001,2024-10-04_10h24.55.035,Session5_VisualSearch,2024.1.5,None,2024-10-04 10h25.00.941829 +0530,
