trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,Fixation.started,target.started,mouse.started,Fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.2273181000000477,,0.030743500001335633,5,0.2273181000000477,0.2273181000000477,0.1661368000004586,1.2880189000006794,1.6739661999999953,[0.14285714285714285],[0.11285714285714285],[1],[0],[0],[1.5063848000008875],['target'],506894,001,2024-10-04_10h10.06.527,Session5_VisualSearch,2024.1.5,None,2024-10-04 10h10.14.989124 +0530,
1,0,1,0,1.8199219000016456,,1.677714700001161,10,1.8199219000016456,1.8199219000016456,0.11129929999879096,2.87065419999999,4.157309600001099,[-0.39714285714285713],[-0.13714285714285715],[1],[0],[0],[2.367670999999973],['target'],506894,001,2024-10-04_10h10.06.527,Session5_VisualSearch,2024.1.5,None,2024-10-04 10h10.14.989124 +0530,
2,0,2,0,4.270874200001344,,4.160414600000877,5,4.270874200001344,4.270874200001344,0.07411630000024161,5.337789000001067,6.223809200000687,[-0.08428571428571428],[-0.21857142857142858],[1],[0],[0],[1.9891273000012006],['target'],506894,001,2024-10-04_10h10.06.527,Session5_VisualSearch,2024.1.5,None,2024-10-04 10h10.14.989124 +0530,
3,0,3,0,6.354004700000587,,6.226583800000299,5,6.354004700000587,6.354004700000587,0.07929080000030808,7.3875921000017115,7.890183400000751,[-0.28285714285714286],[-0.26857142857142857],[1],[0],[0],[1.583779600001435],['target'],506894,001,2024-10-04_10h10.06.527,Session5_VisualSearch,2024.1.5,None,2024-10-04 10h10.14.989124 +0530,
4,0,4,0,8.103583700001764,,7.892983200001254,10,8.103583700001764,8.103583700001764,0.1480111000000761,9.186677400000917,10.122957500001576,[0.42714285714285716],[-0.24571428571428572],[1],[0],[0],[2.0816345999992336],['target'],506894,001,2024-10-04_10h10.06.527,Session5_VisualSearch,2024.1.5,None,2024-10-04 10h10.14.989124 +0530,
