trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,Fixation.started,target.started,mouse.started,Fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.18403810000017984,,0.019773099998928956,10,0.18403810000017984,0.18403810000017984,0.12909059999947203,1.2509964999990189,2.8389000999995915,[0.4657142857142857],[-0.0014285714285714286],[1],[0],[0],[2.7080965999994078],['target'],927247,001,2024-10-04_10h09.09.038,Session5_VisualSearch,2024.1.5,None,2024-10-04 10h09.19.820743 +0530,
1,0,1,0,2.916538600000422,,2.8440986999994493,5,2.916538600000422,2.916538600000422,0.057884599998942576,3.968463100000008,6.056066299999657,[-0.18714285714285714],[0.44142857142857145],[1],[0],[0],[3.1537931000002573],['target'],927247,001,2024-10-04_10h09.09.038,Session5_VisualSearch,2024.1.5,None,2024-10-04 10h09.19.820743 +0530,
2,0,2,0,6.184483799999725,,6.059082300000227,5,6.184483799999725,6.184483799999725,0.0774583000002167,7.235419200000251,8.954935599998862,[-0.43],[-0.11571428571428571],[1],[0],[0],[2.8180986999996094],['target'],927247,001,2024-10-04_10h09.09.038,Session5_VisualSearch,2024.1.5,None,2024-10-04 10h09.19.820743 +0530,
3,0,3,0,9.185052999999243,,8.957670699999653,10,9.185052999999243,9.185052999999243,0.1566302999999607,10.21568379999917,11.251852399998825,[0.22428571428571428],[0.15428571428571428],[1],[0],[0],[2.137690699999439],['target'],927247,001,2024-10-04_10h09.09.038,Session5_VisualSearch,2024.1.5,None,2024-10-04 10h09.19.820743 +0530,
4,0,4,0,11.315652400000545,,11.253462200000286,5,11.315652400000545,11.315652400000545,0.03962200000023586,12.319899899999655,13.689737200000309,[-0.46285714285714286],[-0.14142857142857143],[1],[0],[0],[2.396402300000773],['target'],927247,001,2024-10-04_10h09.09.038,Session5_VisualSearch,2024.1.5,None,2024-10-04 10h09.19.820743 +0530,
