trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,Fixation.started,target.started,mouse.started,Fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.16487649999908172,,0.035284100002172636,5,0.16487649999908172,0.16487649999908172,0.11391319999893312,1.1916349999992235,18.424891800001205,[0.175],[-0.08],[1],[0],[0],[18.309581599998637],['target'],999386,001,2024-10-04_11h05.46.970,Session5_VisualSearch,2024.1.5,None,2024-10-04 11h05.52.640342 +0530,
1,0,1,0,18.586147800000617,,18.42923300000257,10,18.586147800000617,18.586147800000617,0.1336265000027197,19.671906700001273,20.208227300001454,[-0.245],[0.12333333333333334],[1],[0],[0],[1.644869200001267],['target'],999386,001,2024-10-04_11h05.46.970,Session5_VisualSearch,2024.1.5,None,2024-10-04 11h05.52.640342 +0530,
2,0,2,0,20.319340400001238,,20.211432500000228,10,20.319340400001238,20.319340400001238,0.08561659999759286,21.371179900001152,22.09102630000052,[0.5016666666666667],[-0.15833333333333333],[1],[0],[0],[1.7935867000014696],['target'],999386,001,2024-10-04_11h05.46.970,Session5_VisualSearch,2024.1.5,None,2024-10-04 11h05.52.640342 +0530,
3,0,3,0,22.168927800001256,,22.09436260000075,5,22.168927800001256,22.168927800001256,0.055216299999301555,23.20399180000095,25.091385800002172,[0.3883333333333333],[0.465],[1],[0],[0],[2.9414927999969223],['target'],999386,001,2024-10-04_11h05.46.970,Session5_VisualSearch,2024.1.5,None,2024-10-04 11h05.52.640342 +0530,
4,0,4,0,25.20303960000092,,25.0945853000012,5,25.20303960000092,25.20303960000092,0.07011590000183787,26.22121160000097,27.023745300000883,[-0.17166666666666666],[-0.25833333333333336],[1],[0],[0],[1.8586869000027946],['target'],999386,001,2024-10-04_11h05.46.970,Session5_VisualSearch,2024.1.5,None,2024-10-04 11h05.52.640342 +0530,
