trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.023939599996083416,,0.016782499995315447,0.023939599996083416,1.139030799997272,1.1460144000011496,2.1018431999982568,down,1,0.9334805999969831,None,3,623560,001,2024-09-13_11h28.49.265,Signal_Detection,2024.1.5,None,2024-09-13 11h28.56.812033 +0530,
1,0,1,0,2.115211800002726,,2.1065074000071036,2.115211800002726,3.1175234999973327,3.1175234999973327,4.0203398000012385,up,0,0.888169600002584,None,2,623560,001,2024-09-13_11h28.49.265,Signal_Detection,2024.1.5,None,2024-09-13 11h28.56.812033 +0530,
2,0,2,0,4.034385100007057,,4.023491300002206,4.034385100007057,5.033790200002841,5.033790200002841,5.904846400007955,down,1,0.8630311000015354,None,-4,623560,001,2024-09-13_11h28.49.265,Signal_Detection,2024.1.5,None,2024-09-13 11h28.56.812033 +0530,
3,0,3,0,5.919626400005654,,5.908550000007381,5.919626400005654,6.917145700004767,6.933994100007112,7.754451400003745,up,0,0.8280959999974584,None,1,623560,001,2024-09-13_11h28.49.265,Signal_Detection,2024.1.5,None,2024-09-13 11h28.56.812033 +0530,
4,0,4,0,7.769125599996187,,7.758252400002675,7.769125599996187,8.76701029999822,8.783714300006977,9.086660600005416,down,0,0.30161340000631753,None,0,623560,001,2024-09-13_11h28.49.265,Signal_Detection,2024.1.5,None,2024-09-13 11h28.56.812033 +0530,
5,0,5,0,9.101320600006147,,9.090587600003346,9.101320600006147,10.100009999994654,10.116591300000437,10.48791660000279,down,1,0.3831556999939494,None,1,623560,001,2024-09-13_11h28.49.265,Signal_Detection,2024.1.5,None,2024-09-13 11h28.56.812033 +0530,
6,0,6,0,10.5019930999988,,10.49250629999733,10.5019930999988,11.499713700002758,11.516429800001788,12.286151899999822,down,1,0.7760807000013301,None,4,623560,001,2024-09-13_11h28.49.265,Signal_Detection,2024.1.5,None,2024-09-13 11h28.56.812033 +0530,
7,0,7,0,12.299723200005246,,12.289167399998405,12.299723200005246,13.299822700006189,13.299822700006189,13.769857799998135,up,0,0.4551039999932982,None,-2,623560,001,2024-09-13_11h28.49.265,Signal_Detection,2024.1.5,None,2024-09-13 11h28.56.812033 +0530,
8,0,8,0,13.783454999997048,,13.774288700005854,13.783454999997048,14.78336180000042,14.78336180000042,15.203151800000342,up,1,0.40752550000615884,None,0,623560,001,2024-09-13_11h28.49.265,Signal_Detection,2024.1.5,None,2024-09-13 11h28.56.812033 +0530,
9,0,9,0,15.21690870000748,,15.206835300006787,15.21690870000748,16.216470400002436,16.216470400002436,16.7033139999985,down,1,0.48301330000685994,None,-5,623560,001,2024-09-13_11h28.49.265,Signal_Detection,2024.1.5,None,2024-09-13 11h28.56.812033 +0530,
