trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.044972100004088134,,0.033733000003849156,0.044972100004088134,1.1525782000098843,1.1590912000101525,2.810901600008947,up,1,1.6312323000020115,None,0,341351,001,2024-09-13_11h28.04.530,Signal_Detection,2024.1.5,None,2024-09-13 11h28.13.940914 +0530,
1,0,1,0,2.828792500004056,,2.817567700010841,2.828792500004056,3.826046400004998,3.8425658000051044,4.346136799998931,up,1,0.5044892000005348,None,0,341351,001,2024-09-13_11h28.04.530,Signal_Detection,2024.1.5,None,2024-09-13 11h28.13.940914 +0530,
2,0,2,0,4.359246700012591,,4.348685100005241,4.359246700012591,5.359152900011395,5.359152900011395,5.77966890000971,up,1,0.41689900000346825,None,0,341351,001,2024-09-13_11h28.04.530,Signal_Detection,2024.1.5,None,2024-09-13 11h28.13.940914 +0530,
3,0,3,0,5.792302900008508,,5.782696800000849,5.792302900008508,6.792099000012968,6.792099000012968,7.161938900011592,up,0,0.36054569999396335,None,4,341351,001,2024-09-13_11h28.04.530,Signal_Detection,2024.1.5,None,2024-09-13 11h28.13.940914 +0530,
4,0,4,0,7.175487800006522,,7.165005200004089,7.175487800006522,8.175495600007707,8.175495600007707,8.778582800005097,up,1,0.5863341000076616,None,0,341351,001,2024-09-13_11h28.04.530,Signal_Detection,2024.1.5,None,2024-09-13 11h28.13.940914 +0530,
5,0,5,0,8.792203200006043,,8.781804800004466,8.792203200006043,9.792398300007335,9.792398300007335,10.478629600009299,down,1,0.6738145999988774,None,-4,341351,001,2024-09-13_11h28.04.530,Signal_Detection,2024.1.5,None,2024-09-13 11h28.13.940914 +0530,
6,0,6,0,10.492291700007627,,10.481566300004488,10.492291700007627,11.492318500007968,11.492318500007968,12.37844360001327,down,1,0.8764622999879066,None,-5,341351,001,2024-09-13_11h28.04.530,Signal_Detection,2024.1.5,None,2024-09-13 11h28.13.940914 +0530,
7,0,7,0,12.39204220000829,,12.381581600013305,12.39204220000829,13.392053100003977,13.392053100003977,14.128229599999031,up,1,0.7267677000054391,None,0,341351,001,2024-09-13_11h28.04.530,Signal_Detection,2024.1.5,None,2024-09-13 11h28.13.940914 +0530,
8,0,8,0,14.144543600006728,,14.132969700003741,14.144543600006728,15.141838800002006,15.158509000000777,17.109576000002562,up,0,1.961867699996219,None,1,341351,001,2024-09-13_11h28.04.530,Signal_Detection,2024.1.5,None,2024-09-13 11h28.13.940914 +0530,
9,0,9,0,17.124900200011325,,17.111017100003664,17.124900200011325,18.12490650000109,18.12490650000109,19.861533100003726,up,0,1.7312429000012344,None,-4,341351,001,2024-09-13_11h28.04.530,Signal_Detection,2024.1.5,None,2024-09-13 11h28.13.940914 +0530,
