trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.07760190000408329,,0.03780770002049394,0.07760190000408329,1.1644201000162866,1.184719100012444,7.953717199998209,down,1,6.757903499994427,None,2,190589,001,2024-09-13_13h30.48.825,Signal_Detection,2024.1.5,None,2024-09-13 13h30.57.847438 +0530,
1,0,1,0,7.998782200011192,,7.97052510001231,7.998782200011192,8.96811849999358,9.002304199995706,9.78902470000321,down,0,0.8032635000126902,None,0,190589,001,2024-09-13_13h30.48.825,Signal_Detection,2024.1.5,None,2024-09-13 13h30.57.847438 +0530,
2,0,2,0,9.813995100004831,,9.798479499993846,9.813995100004831,10.802376100007677,10.81950599999982,11.339057700010017,down,0,0.5289899999916088,None,0,190589,001,2024-09-13_13h30.48.825,Signal_Detection,2024.1.5,None,2024-09-13 13h30.57.847438 +0530,
3,0,3,0,11.366527900012443,,11.345348200004082,11.366527900012443,12.35250510001788,12.36911900000996,12.818901699996786,down,0,0.45021780001115985,None,0,190589,001,2024-09-13_13h30.48.825,Signal_Detection,2024.1.5,None,2024-09-13 13h30.57.847438 +0530,
4,0,4,0,12.848119600006612,,12.824935600016033,12.848119600006612,13.85075810001581,13.869756800006144,14.66899820000981,up,1,0.8062913000176195,None,0,190589,001,2024-09-13_13h30.48.825,Signal_Detection,2024.1.5,None,2024-09-13 13h30.57.847438 +0530,
,,,,14.699488900019787,,14.678744800010463,14.699488900019787,15.684730200009653,15.703086900000926,,,,,,,,,,,,,,
