stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,Fixation.started,grating.started,key_resp.started,Fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.03765600000042468,,0.020500099984928966,0.03765600000042468,0.6703859000117518,0.6703859000117518,0.6894667000160553,0.9742001999984495,3.8115713000297546,right,10.0,1,1,2.8450367000186816,760595,001,2024-09-11_23h45.04.782,AdaptiveStaircase_session3,2024.1.5,None,2024-09-11 23h45.18.714388 +0530,
1,2,8.0,3.838140800013207,,3.8118115999968722,3.838140800013207,4.325376100023277,4.325376100023277,4.342900499992538,4.63947090000147,4.907354400027543,left,-8.0,1,1,0.5657205000170507,760595,001,2024-09-11_23h45.04.782,AdaptiveStaircase_session3,2024.1.5,None,2024-09-11 23h45.18.714388 +0530,
2,2,6.0,4.922418500005733,,4.907552700024098,4.922418500005733,5.422027099994011,5.422027099994011,5.4380297000170685,5.737617100006901,6.022287000028882,right,6.0,1,1,0.5958800999796949,760595,001,2024-09-11_23h45.04.782,AdaptiveStaircase_session3,2024.1.5,None,2024-09-11 23h45.18.714388 +0530,
3,2,4.0,6.0372406000387855,,6.022405900002923,6.0372406000387855,6.523231300001498,6.523231300001498,6.539869100030046,6.823349100013729,7.4158352999947965,right,4.0,1,1,0.8767759999609552,760595,001,2024-09-11_23h45.04.782,AdaptiveStaircase_session3,2024.1.5,None,2024-09-11 23h45.18.714388 +0530,
4,2,2.0,7.437690899998415,,7.416216199984774,7.437690899998415,7.922894800023641,7.922894800023641,7.93969329999527,8.225292299990542,8.576532400038559,right,2.0,1,1,0.6422668999875896,760595,001,2024-09-11_23h45.04.782,AdaptiveStaircase_session3,2024.1.5,None,2024-09-11 23h45.18.714388 +0530,
5,1,1.0,8.60475330002373,,8.576898800034542,8.60475330002373,9.089130000036675,9.089130000036675,9.105969400028698,9.389039600035176,10.92500360001577,right,1.0,0,0,1.822744800010696,760595,001,2024-09-11_23h45.04.782,AdaptiveStaircase_session3,2024.1.5,None,2024-09-11 23h45.18.714388 +0530,
6,1,2.0,10.939118100039195,,10.925247900013346,10.939118100039195,11.440460000012536,11.440460000012536,11.440460000012536,11.74137800000608,17.692254399997182,right,2.0,1,1,6.240972800005693,760595,001,2024-09-11_23h45.04.782,AdaptiveStaircase_session3,2024.1.5,None,2024-09-11 23h45.18.714388 +0530,
7,1,2.0,17.719962700037286,,17.69304410001496,17.719962700037286,18.205874400038738,18.205874400038738,18.222390800016,18.50533950002864,19.24275570001919,right,2.0,1,1,1.0312566999928094,760595,001,2024-09-11_23h45.04.782,AdaptiveStaircase_session3,2024.1.5,None,2024-09-11 23h45.18.714388 +0530,
8,1,2.0,19.26944669999648,,19.243040500034112,19.26944669999648,19.755734900012612,19.755734900012612,19.772264400031418,20.055560300010256,20.592277500021737,left,-2.0,1,1,0.8315864000469446,760595,001,2024-09-11_23h45.04.782,AdaptiveStaircase_session3,2024.1.5,None,2024-09-11 23h45.18.714388 +0530,
9,1,1.0,20.619558900012635,,20.59259590000147,20.619558900012635,21.10500989999855,21.10500989999855,21.122164900007192,21.40507159999106,21.592018100025598,right,1.0,1,1,0.4782153000123799,760595,001,2024-09-11_23h45.04.782,AdaptiveStaircase_session3,2024.1.5,None,2024-09-11 23h45.18.714388 +0530,
10,1,1.0,21.619095500034746,,21.592314700013958,21.619095500034746,22.104931300040334,22.104931300040334,22.12191480002366,22.404805900005158,22.95821710000746,right,1.0,1,1,0.8460698000271805,760595,001,2024-09-11_23h45.04.782,AdaptiveStaircase_session3,2024.1.5,None,2024-09-11 23h45.18.714388 +0530,
11,1,1.0,22.985948199988343,,22.95861919998424,22.985948199988343,23.47122380003566,23.47122380003566,23.4880678000045,23.771690400026273,25.441113799985033,right,1.0,1,1,1.955360500025563,760595,001,2024-09-11_23h45.04.782,AdaptiveStaircase_session3,2024.1.5,None,2024-09-11 23h45.18.714388 +0530,
12,1,1.0,25.468807100027334,,25.44143140001688,25.468807100027334,25.95468379999511,25.95468379999511,25.970989800000098,26.255092700012028,26.610015699989162,right,1.0,1,1,0.6432111999602057,760595,001,2024-09-11_23h45.04.782,AdaptiveStaircase_session3,2024.1.5,None,2024-09-11 23h45.18.714388 +0530,
13,1,1.0,26.63530369999353,,26.610393500013743,26.63530369999353,27.12056350003695,27.12056350003695,27.136807500035502,27.420852400013246,27.79116070002783,left,-1.0,1,1,0.6575515999575146,760595,001,2024-09-11_23h45.04.782,AdaptiveStaircase_session3,2024.1.5,None,2024-09-11 23h45.18.714388 +0530,
14,1,1.0,27.817910199984908,,27.791468299983535,27.817910199984908,28.303638899989892,28.303638899989892,28.32161179999821,28.603849600011017,29.53977329999907,right,1.0,1,1,1.2269992000074126,760595,001,2024-09-11_23h45.04.782,AdaptiveStaircase_session3,2024.1.5,None,2024-09-11 23h45.18.714388 +0530,
15,1,1.0,29.55423479998717,,29.540038000035565,29.55423479998717,30.05313890002435,30.05313890002435,30.069999400002416,30.35331249999581,30.73989840003196,left,-1.0,1,1,0.6714045999688096,760595,001,2024-09-11_23h45.04.782,AdaptiveStaircase_session3,2024.1.5,None,2024-09-11 23h45.18.714388 +0530,
16,0.5,1.0,30.76808790001087,,30.740217000013217,30.76808790001087,31.252991800021846,31.252991800021846,31.270051700004842,31.55309629999101,31.722481400007382,left,-1.0,0,0,0.45588799996767193,760595,001,2024-09-11_23h45.04.782,AdaptiveStaircase_session3,2024.1.5,None,2024-09-11 23h45.18.714388 +0530,
17,0.5,1.5,31.737771300016902,,31.722761799988803,31.737771300016902,32.23422969999956,32.23422969999956,32.251309900020715,32.53423190000467,32.969938300026115,right,1.5,1,1,0.7192520000389777,760595,001,2024-09-11_23h45.04.782,AdaptiveStaircase_session3,2024.1.5,None,2024-09-11 23h45.18.714388 +0530,
18,0.5,1.5,32.984982800029684,,32.97011240001302,32.984982800029684,33.48502040002495,33.48502040002495,33.50426840002183,33.801906600012444,33.85672780004097,left,-1.5,1,1,0.36574119998840615,760595,001,2024-09-11_23h45.04.782,AdaptiveStaircase_session3,2024.1.5,None,2024-09-11 23h45.18.714388 +0530,
19,0.5,1.5,33.88398690003669,,33.85698240000056,33.88398690003669,34.36948550003581,34.36948550003581,34.38634160003858,34.669420499994885,34.755342399992514,right,1.5,1,1,0.37527229997795075,760595,001,2024-09-11_23h45.04.782,AdaptiveStaircase_session3,2024.1.5,None,2024-09-11 23h45.18.714388 +0530,
20,0.5,1.0,34.768925399985164,,34.75558200001251,34.768925399985164,35.26951100002043,35.26951100002043,35.26951100002043,35.570463499985635,35.60564790002536,left,-1.0,1,1,0.32629429997177795,760595,001,2024-09-11_23h45.04.782,AdaptiveStaircase_session3,2024.1.5,None,2024-09-11 23h45.18.714388 +0530,
21,0.5,1.0,35.61885259998962,,35.60589390003588,35.61885259998962,36.120361700013746,36.120361700013746,36.120361700013746,36.419724000035785,36.57201240002178,right,1.0,1,1,0.43986570002743974,760595,001,2024-09-11_23h45.04.782,AdaptiveStaircase_session3,2024.1.5,None,2024-09-11 23h45.18.714388 +0530,
22,0.5,1.0,36.585519600019325,,36.57226650003577,36.585519600019325,37.0863335999893,37.0863335999893,37.0863335999893,37.387288100027945,37.923674900026526,right,1.0,1,1,0.822996900009457,760595,001,2024-09-11_23h45.04.782,AdaptiveStaircase_session3,2024.1.5,None,2024-09-11 23h45.18.714388 +0530,
23,0.5,1.0,37.951226000033785,,37.92396919999737,37.951226000033785,38.43673870002385,38.43673870002385,38.45334140001796,38.73583870002767,39.123851699987426,right,1.0,1,1,0.6828958000405692,760595,001,2024-09-11_23h45.04.782,AdaptiveStaircase_session3,2024.1.5,None,2024-09-11 23h45.18.714388 +0530,
24,0.5,1.0,39.15075640002033,,39.12411440000869,39.15075640002033,39.63615999999456,39.63615999999456,39.65255120000802,39.93608830001904,40.27416979998816,left,-1.0,1,1,0.6265642999787815,760595,001,2024-09-11_23h45.04.782,AdaptiveStaircase_session3,2024.1.5,None,2024-09-11 23h45.18.714388 +0530,
