stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,Fixation.started,grating.started,key_resp.started,Fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.03368719998979941,,0.015017299971077591,0.03368719998979941,0.6452076999703422,0.6452076999703422,0.6636906000203453,0.9555201000184752,1.7993087000213563,left,-10.0,1,1,0.9865340000251308,223794,001,2024-09-06_11h45.35.361,AdaptiveStaircase_session3,2024.1.5,None,2024-09-06 11h45.48.368703 +0530,
1,2,8.0,1.8126169000170194,,1.7994592000031844,1.8126169000170194,2.3139712999691255,2.3139712999691255,2.3335701000178233,2.616294800012838,2.771102399972733,right,8.0,1,1,0.4539616999682039,223794,001,2024-09-06_11h45.35.361,AdaptiveStaircase_session3,2024.1.5,None,2024-09-06 11h45.48.368703 +0530,
2,2,6.0,2.7975113000138663,,2.771360700018704,2.7975113000138663,3.283180699974764,3.283180699974764,3.300192299997434,3.5825792999821715,3.8867841999744996,left,-6.0,1,1,0.5915640000021085,223794,001,2024-09-06_11h45.35.361,AdaptiveStaircase_session3,2024.1.5,None,2024-09-06 11h45.48.368703 +0530,
,,,3.9142004000023007,,3.887070600001607,3.9142004000023007,4.399368799990043,4.399368799990043,4.416213000018615,4.700146200018935,,,,,,,,,,,,,,
