trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,Fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.18611130000135745,,0.049864000000525266,5,0.18611130000135745,0.18611130000135745,0.1289230000002135,1.8152583000010054,[0.30833333333333335],[0.30833333333333335],[1],[0],[0],[1.6846893000001728],['target'],335825,001,2024-10-04_11h52.26.393,Session5_VisualSearch,2024.1.5,None,2024-10-04 11h52.32.100983 +0530,
1,0,1,0,1.9428709999992861,,1.8340184999979101,10,1.9428709999992861,1.9428709999992861,0.08274929999970482,4.221007899999677,[-0.4866666666666667],[0.09166666666666666],[1],[0],[0],[2.3058330999992904],['target'],335825,001,2024-10-04_11h52.26.393,Session5_VisualSearch,2024.1.5,None,2024-10-04 11h52.32.100983 +0530,
2,0,2,0,4.325889600000664,,4.24165290000019,5,4.325889600000664,4.325889600000664,0.06991629999902216,5.831400600000052,[0.26166666666666666],[0.0016666666666666668],[1],[0],[0],[1.52321049999955],['target'],335825,001,2024-10-04_11h52.26.393,Session5_VisualSearch,2024.1.5,None,2024-10-04 11h52.32.100983 +0530,
3,0,3,0,5.925483600000007,,5.847481599997991,5,5.925483600000007,5.925483600000007,0.06377700000302866,7.515072599999257,[0.31166666666666665],[0.33],[1],[0],[0],[1.6082908999997017],['target'],335825,001,2024-10-04_11h52.26.393,Session5_VisualSearch,2024.1.5,None,2024-10-04 11h52.32.100983 +0530,
4,0,4,0,7.725730599999224,,7.5305576999999175,10,7.725730599999224,7.725730599999224,0.1458055000002787,12.062983699997858,[-0.24666666666666667],[0.26166666666666666],[1],[0],[0],[4.38858959999925],['target'],335825,001,2024-10-04_11h52.26.393,Session5_VisualSearch,2024.1.5,None,2024-10-04 11h52.32.100983 +0530,
5,0,5,0,12.176172600000427,,12.076105299998744,5,12.176172600000427,12.176172600000427,0.06738870000117458,13.596613599998818,[-0.0016666666666666668],[0.29833333333333334],[1],[0],[0],[1.4559150999994017],['target'],335825,001,2024-10-04_11h52.26.393,Session5_VisualSearch,2024.1.5,None,2024-10-04 11h52.32.100983 +0530,
6,0,6,0,13.708430599999701,,13.612580199998774,5,13.708430599999701,13.708430599999701,0.06995649999953457,15.266593899999862,[-0.39166666666666666],[0.025],[1],[0],[0],[1.588117900002544],['target'],335825,001,2024-10-04_11h52.26.393,Session5_VisualSearch,2024.1.5,None,2024-10-04 11h52.32.100983 +0530,
7,0,7,0,15.442861899999116,,15.282174399999349,10,15.442861899999116,15.442861899999116,0.11596009999993839,16.776494900001126,[-0.205],[0.14],[1],[0],[0],[1.3811270000005607],['target'],335825,001,2024-10-04_11h52.26.393,Session5_VisualSearch,2024.1.5,None,2024-10-04 11h52.32.100983 +0530,
8,0,8,0,16.875351200000296,,16.785090500001388,5,16.875351200000296,16.875351200000296,0.05718039999919711,18.880012099998567,[0.43],[-0.04833333333333333],[1],[0],[0],[2.038184699998965],['target'],335825,001,2024-10-04_11h52.26.393,Session5_VisualSearch,2024.1.5,None,2024-10-04 11h52.32.100983 +0530,
9,0,9,0,19.0743939999993,,18.8957776999996,10,19.0743939999993,19.0743939999993,0.14270940000278642,21.02590010000131,[-0.44166666666666665],[0.165],[1],[0],[0],[1.9911304000015662],['target'],335825,001,2024-10-04_11h52.26.393,Session5_VisualSearch,2024.1.5,None,2024-10-04 11h52.32.100983 +0530,
10,0,10,0,21.090712400000484,,21.032864900000277,5,21.090712400000484,21.090712400000484,0.037019499999587424,22.843175099998916,[-0.2],[0.465],[1],[0],[0],[1.7738793999997142],['target'],335825,001,2024-10-04_11h52.26.393,Session5_VisualSearch,2024.1.5,None,2024-10-04 11h52.32.100983 +0530,
11,0,11,0,22.940175799998542,,22.85157160000017,10,22.940175799998542,22.940175799998542,0.07085269999879529,23.962257399998634,[-0.21833333333333332],[0.4],[1],[0],[0],[1.0404248999984702],['target'],335825,001,2024-10-04_11h52.26.393,Session5_VisualSearch,2024.1.5,None,2024-10-04 11h52.32.100983 +0530,
12,0,12,0,24.089935699998023,,23.979478400000517,10,24.089935699998023,24.089935699998023,0.0963478000012401,26.264136699999654,[0.285],[-0.135],[1],[0],[0],[2.1902737999989768],['target'],335825,001,2024-10-04_11h52.26.393,Session5_VisualSearch,2024.1.5,None,2024-10-04 11h52.32.100983 +0530,
