trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,Fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.322602200001711,,0.07035960000212071,10,0.322602200001711,0.322602200001711,0.2720824999996694,2.4264809000014793,[-0.23166666666666666],[-0.13166666666666665],[1],[0],[0],[2.1527287000026263],['target'],934200,001,2024-10-04_11h18.43.131,Session5_VisualSearch,2024.1.5,None,2024-10-04 11h18.51.765748 +0530,
1,0,1,0,2.5718024000016158,,2.447459400002117,5,2.5718024000016158,2.5718024000016158,0.08435710000048857,3.8414015999987896,[-0.36333333333333334],[-0.07],[1],[0],[0],[1.3117684999997437],['target'],934200,001,2024-10-04_11h18.43.131,Session5_VisualSearch,2024.1.5,None,2024-10-04 11h18.51.765748 +0530,
2,0,2,0,3.970134200000757,,3.857634500000131,5,3.970134200000757,3.970134200000757,0.07557260000248789,5.758294100000057,[0.3016666666666667],[0.475],[1],[0],[0],[1.8288705000013579],['target'],934200,001,2024-10-04_11h18.43.131,Session5_VisualSearch,2024.1.5,None,2024-10-04 11h18.51.765748 +0530,
3,0,3,0,5.903538900001877,,5.77732240000114,10,5.903538900001877,5.903538900001877,0.09828559999732533,8.523603500001627,[-0.33166666666666667],[0.17166666666666666],[1],[0],[0],[2.650371100000484],['target'],934200,001,2024-10-04_11h18.43.131,Session5_VisualSearch,2024.1.5,None,2024-10-04 11h18.51.765748 +0530,
4,0,4,0,8.754433800000697,,8.541238500001782,10,8.754433800000697,8.754433800000697,0.15583289999995031,10.141717499998776,[-0.24833333333333332],[-0.051666666666666666],[1],[0],[0],[1.4469731999997748],['target'],934200,001,2024-10-04_11h18.43.131,Session5_VisualSearch,2024.1.5,None,2024-10-04 11h18.51.765748 +0530,
5,0,5,0,10.302550399999745,,10.159982400000445,10,10.302550399999745,10.302550399999745,0.1073526000000129,12.22094030000153,[0.2966666666666667],[0.19833333333333333],[1],[0],[0],[1.9569926000003761],['target'],934200,001,2024-10-04_11h18.43.131,Session5_VisualSearch,2024.1.5,None,2024-10-04 11h18.51.765748 +0530,
6,0,6,0,12.28529360000175,,12.227794800000993,5,12.28529360000175,12.28529360000175,0.03736229999776697,13.73771889999989,[-0.23333333333333334],[-0.05],[1],[0],[0],[1.473317899999529],['target'],934200,001,2024-10-04_11h18.43.131,Session5_VisualSearch,2024.1.5,None,2024-10-04 11h18.51.765748 +0530,
7,0,7,0,13.819229000000632,,13.74641630000042,5,13.819229000000632,13.819229000000632,0.04805570000098669,16.153356300001178,[-0.2783333333333333],[0.46166666666666667],[1],[0],[0],[2.360295899998164],['target'],934200,001,2024-10-04_11h18.43.131,Session5_VisualSearch,2024.1.5,None,2024-10-04 11h18.51.765748 +0530,
8,0,8,0,16.201509099999384,,16.15814930000124,5,16.201509099999384,16.201509099999384,0.02770810000220081,18.056195500001195,[-0.051666666666666666],[-0.395],[1],[0],[0],[1.86999730000025],['target'],934200,001,2024-10-04_11h18.43.131,Session5_VisualSearch,2024.1.5,None,2024-10-04 11h18.51.765748 +0530,
9,0,9,0,18.285876500001905,,18.074415700000827,10,18.285876500001905,18.285876500001905,0.14799829999901704,19.55636719999893,[0.0033333333333333335],[-0.24666666666666667],[1],[0],[0],[1.3356535999992047],['target'],934200,001,2024-10-04_11h18.43.131,Session5_VisualSearch,2024.1.5,None,2024-10-04 11h18.51.765748 +0530,
10,0,10,0,19.78442730000097,,19.57540019999942,10,19.78442730000097,19.78442730000097,0.15479090000008,22.369765899999038,[-0.4266666666666667],[0.33166666666666667],[1],[0],[0],[2.6416514000011375],['target'],934200,001,2024-10-04_11h18.43.131,Session5_VisualSearch,2024.1.5,None,2024-10-04 11h18.51.765748 +0530,
11,0,11,0,22.550799700002244,,22.388110399999277,10,22.550799700002244,22.550799700002244,0.11486839999997756,25.388459699999657,[-0.315],[-0.2916666666666667],[1],[0],[0],[2.889504599999782],['target'],934200,001,2024-10-04_11h18.43.131,Session5_VisualSearch,2024.1.5,None,2024-10-04 11h18.51.765748 +0530,
