trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,Fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.3403184999988298,,0.08615279999867198,10,0.3403184999988298,0.3403184999988298,0.2740157999978692,11.38905469999736,[-0.19],[-0.485],[1],[0],[0],[11.114141699999891],['target'],619801,001,2024-10-04_11h38.49.327,Session5_VisualSearch,2024.1.5,None,2024-10-04 11h38.55.532295 +0530,
1,0,1,0,11.502726899998379,,11.400432799997361,10,11.502726899998379,11.502726899998379,0.08241020000059507,15.175478799999837,[0.35],[0.4],[1],[0],[0],[3.693482499998936],['target'],619801,001,2024-10-04_11h38.49.327,Session5_VisualSearch,2024.1.5,None,2024-10-04 11h38.55.532295 +0530,
2,0,2,0,15.304344399999536,,15.192736699998932,5,15.304344399999536,15.304344399999536,0.0739601000022958,17.47401549999995,[-0.2866666666666667],[-0.2],[1],[0],[0],[2.2092752999997174],['target'],619801,001,2024-10-04_11h38.49.327,Session5_VisualSearch,2024.1.5,None,2024-10-04 11h38.55.532295 +0530,
3,0,3,0,17.68676779999805,,17.488890299999184,10,17.68676779999805,17.68676779999805,0.14032550000047195,19.2900312999991,[0.2683333333333333],[-0.13833333333333334],[1],[0],[0],[1.6642092000001867],['target'],619801,001,2024-10-04_11h38.49.327,Session5_VisualSearch,2024.1.5,None,2024-10-04 11h38.55.532295 +0530,
4,0,4,0,19.52031309999802,,19.305769899998268,10,19.52031309999802,19.52031309999802,0.14445039999918663,21.020471299998462,[0.125],[0.08166666666666667],[1],[0],[0],[1.5737624000030337],['target'],619801,001,2024-10-04_11h38.49.327,Session5_VisualSearch,2024.1.5,None,2024-10-04 11h38.55.532295 +0530,
5,0,5,0,21.084758499997406,,21.02755139999863,5,21.084758499997406,21.084758499997406,0.03655419999995502,23.738184699999692,[-0.22166666666666668],[-0.4683333333333333],[1],[0],[0],[2.6749740000013844],['target'],619801,001,2024-10-04_11h38.49.327,Session5_VisualSearch,2024.1.5,None,2024-10-04 11h38.55.532295 +0530,
6,0,6,0,23.83485870000004,,23.745335999999952,10,23.83485870000004,23.83485870000004,0.06028839999999036,25.772608699997363,[0.2866666666666667],[0.16333333333333333],[1],[0],[0],[1.967242000002443],['target'],619801,001,2024-10-04_11h38.49.327,Session5_VisualSearch,2024.1.5,None,2024-10-04 11h38.55.532295 +0530,
7,0,7,0,25.885490199998458,,25.790324800000235,5,25.885490199998458,25.885490199998458,0.06641020000097342,29.49155249999967,[-0.44166666666666665],[0.465],[1],[0],[0],[3.638769400000456],['target'],619801,001,2024-10-04_11h38.49.327,Session5_VisualSearch,2024.1.5,None,2024-10-04 11h38.55.532295 +0530,
8,0,8,0,29.735160699998232,,29.521046199999546,10,29.735160699998232,29.735160699998232,0.1474263999989489,33.973074199999246,[0.23333333333333334],[0.016666666666666666],[1],[0],[0],[4.308950200000254],['target'],619801,001,2024-10-04_11h38.49.327,Session5_VisualSearch,2024.1.5,None,2024-10-04 11h38.55.532295 +0530,
9,0,9,0,34.18450769999981,,33.99096399999689,10,34.18450769999981,34.18450769999981,0.13941249999697902,36.36881489999723,[0.18333333333333332],[0.45],[1],[0],[0],[2.240563100000145],['target'],619801,001,2024-10-04_11h38.49.327,Session5_VisualSearch,2024.1.5,None,2024-10-04 11h38.55.532295 +0530,
10,0,10,0,36.43293099999937,,36.37568189999729,5,36.43293099999937,36.43293099999937,0.03612599999905797,37.970635999998194,[0.11666666666666667],[0.08666666666666667],[1],[0],[0],[1.5593794000014896],['target'],619801,001,2024-10-04_11h38.49.327,Session5_VisualSearch,2024.1.5,None,2024-10-04 11h38.55.532295 +0530,
11,0,11,0,38.083073499998136,,37.98028779999731,10,38.083073499998136,38.083073499998136,0.07671330000084708,39.85429479999948,[0.35833333333333334],[0.43833333333333335],[1],[0],[0],[1.7983878000013647],['target'],619801,001,2024-10-04_11h38.49.327,Session5_VisualSearch,2024.1.5,None,2024-10-04 11h38.55.532295 +0530,
12,0,12,0,40.01569129999916,,39.871336999996856,10,40.01569129999916,40.01569129999916,0.11278889999812236,43.53704469999866,[0.4683333333333333],[-0.10833333333333334],[1],[0],[0],[3.554780099999334],['target'],619801,001,2024-10-04_11h38.49.327,Session5_VisualSearch,2024.1.5,None,2024-10-04 11h38.55.532295 +0530,
13,0,13,0,43.76728109999749,,43.55583659999684,10,43.76728109999749,43.76728109999749,0.1407087000006868,46.25236589999986,[-0.48],[-0.4683333333333333],[1],[0],[0],[2.5579385999990336],['target'],619801,001,2024-10-04_11h38.49.327,Session5_VisualSearch,2024.1.5,None,2024-10-04 11h38.55.532295 +0530,
