study_word,test_word,Reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
book,,,,0,10,10,0,,,,,18.847084099999847,,18.77090279999902,18.847084099999847,18.847084099999847,20.021290399999998,1,1.1719317999995837,,,,,,,,,,,,,,,01,001,2024-10-25_11h28.04.810,Session7_WordPriming,2024.1.5,None,2024-10-25 11h28.17.144117 +0530,
cruise,,,,0,11,11,11,,,,,20.072427900000548,,20.022751500000595,20.072427900000548,20.072427900000548,21.7141857000006,1.9666666666666666,1.6191820000003645,,,,,,,,,,,,,,,01,001,2024-10-25_11h28.04.810,Session7_WordPriming,2024.1.5,None,2024-10-25 11h28.17.144117 +0530,
board,,,,0,12,12,4,,,,,21.79463880000003,,21.715229999999792,21.79463880000003,21.79463880000003,22.65451149999899,1.9666666666666666,0.8507668000002013,,,,,,,,,,,,,,,01,001,2024-10-25_11h28.04.810,Session7_WordPriming,2024.1.5,None,2024-10-25 11h28.17.144117 +0530,
poster,,,,0,13,13,14,,,,,22.72707900000023,,22.655597599999965,22.72707900000023,22.72707900000023,24.0933387999994,1,1.3600310000001627,,,,,,,,,,,,,,,01,001,2024-10-25_11h28.04.810,Session7_WordPriming,2024.1.5,None,2024-10-25 11h28.17.144117 +0530,
keys,,,,0,14,14,13,,,,,24.1698049000006,,24.09441180000067,24.1698049000006,24.1698049000006,25.070637400000123,1,0.91372709999996,,,,,,,,,,,,,,,01,001,2024-10-25_11h28.04.810,Session7_WordPriming,2024.1.5,None,2024-10-25 11h28.17.144117 +0530,
,V_s_,Vase,new,,,,,0,0,0,17,25.13252189999912,,,,,,,,25.087804000000688,25.13252189999912,25.13252189999912,25.13252189999912,0.02955870000005234,29.861539199999243,vase,[-0.010185185185185186],[-0.2962962962962963],[1],[0],[0],[4.759535799999867],['text_3'],01,001,2024-10-25_11h28.04.810,Session7_WordPriming,2024.1.5,None,2024-10-25 11h28.17.144117 +0530,
,_oo_,Book,old ,,,,,0,1,1,13,29.90803539999979,,,,,,,,29.866149600000426,29.90803539999979,29.90803539999979,29.90803539999979,0.011360999998942134,33.7578498999992,book,[0.024074074074074074],[-0.30462962962962964],[1],[0],[0],[3.8793569999998],['text_3'],01,001,2024-10-25_11h28.04.810,Session7_WordPriming,2024.1.5,None,2024-10-25 11h28.17.144117 +0530,
,_ou_se,Mouse,old ,,,,,0,2,2,3,33.80480659999921,,,,,,,,33.76043279999976,33.80480659999921,33.80480659999921,33.80480659999921,0.00988839999990887,37.16316569999981,mouse,[0.024074074074074074],[-0.29444444444444445],[1],[0],[0],[3.392446599998948],['text_3'],01,001,2024-10-25_11h28.04.810,Session7_WordPriming,2024.1.5,None,2024-10-25 11h28.17.144117 +0530,
,l_pt_p,Laptop,old ,,,,,0,3,3,0,37.19543370000065,,,,,,,,37.164322399999946,37.19543370000065,37.19543370000065,37.19543370000065,0.004909600000246428,41.60998579999978,laptop,[0.041666666666666664],[-0.30462962962962964],[1],[0],[0],[4.4401327000014135],['text_3'],01,001,2024-10-25_11h28.04.810,Session7_WordPriming,2024.1.5,None,2024-10-25 11h28.17.144117 +0530,
,T_hi_t,Tshirt,old ,,,,,0,4,4,2,41.64273499999945,,,,,,,,41.6115092,41.64273499999945,41.64273499999945,41.64273499999945,0.006222500000149012,47.46650269999918,Tshirt,[0.041666666666666664],[-0.30462962962962964],[1],[0],[0],[5.847475800001121],['text_3'],01,001,2024-10-25_11h28.04.810,Session7_WordPriming,2024.1.5,None,2024-10-25 11h28.17.144117 +0530,
,C_m_ra,Camera,new,,,,,0,5,5,19,47.52646850000019,,,,,,,,47.4697914999997,47.52646850000019,47.52646850000019,47.52646850000019,0.021986800000377116,54.96375160000025,Camera,[0.017592592592592594],[-0.30462962962962964],[1],[0],[0],[7.471425600000657],['text_3'],01,001,2024-10-25_11h28.04.810,Session7_WordPriming,2024.1.5,None,2024-10-25 11h28.17.144117 +0530,
,_o_rd,Board,old ,,,,,0,6,6,10,55.01062230000025,,,,,,,,54.96624940000038,55.01062230000025,55.01062230000025,55.01062230000025,0.013524500000130502,62.273155799999586,Board,[0.017592592592592594],[-0.30462962962962964],[1],[0],[0],[7.2903236000001925],['text_3'],01,001,2024-10-25_11h28.04.810,Session7_WordPriming,2024.1.5,None,2024-10-25 11h28.17.144117 +0530,
,_a_bl_,Marble,old ,,,,,0,7,7,11,62.319038999999975,,,,,,,,62.27600999999959,62.319038999999975,62.319038999999975,62.319038999999975,0.010339399999793386,67.20857629999955,Table,[0.05092592592592592],[-0.2916666666666667],[1],[0],[0],[4.920511399999668],['text_3'],01,001,2024-10-25_11h28.04.810,Session7_WordPriming,2024.1.5,None,2024-10-25 11h28.17.144117 +0530,
,Bo_t_le,Bottle,new,,,,,0,8,8,18,67.26492359999975,,,,,,,,67.21108239999921,67.26492359999975,67.26492359999975,67.26492359999975,0.019701000001077773,72.50465239999903,Bottle,[0.010185185185185186],[-0.3],[1],[0],[0],[5.272915499999726],['text_3'],01,001,2024-10-25_11h28.04.810,Session7_WordPriming,2024.1.5,None,2024-10-25 11h28.17.144117 +0530,
,_ho_e,Phone,old ,,,,,0,9,9,12,72.55425830000058,,,,,,,,72.507891199999,72.55425830000058,72.55425830000058,72.55425830000058,0.01227629999993951,78.20954519999941,Shoe,[0.03333333333333333],[-0.3],[1],[0],[0],[5.68785410000055],['text_3'],01,001,2024-10-25_11h28.04.810,Session7_WordPriming,2024.1.5,None,2024-10-25 11h28.17.144117 +0530,
,_ru_is_,Cruise,old ,,,,,0,10,10,6,78.26012330000049,,,,,,,,78.2120593999989,78.26012330000049,78.26012330000049,78.26012330000049,0.012364599999273196,83.35888530000011,Cruise,[0.03333333333333333],[-0.3],[1],[0],[0],[5.133307000000059],['text_3'],01,001,2024-10-25_11h28.04.810,Session7_WordPriming,2024.1.5,None,2024-10-25 11h28.17.144117 +0530,
,c_s_io_,Cushion,old ,,,,,0,11,11,14,83.42016909999984,,,,,,,,83.36133250000057,83.42016909999984,83.42016909999984,83.42016909999984,0.0159416999995301,87.09651689999919,Cushion,[0.03333333333333333],[-0.3],[1],[0],[0],[3.7179451000010886],['text_3'],01,001,2024-10-25_11h28.04.810,Session7_WordPriming,2024.1.5,None,2024-10-25 11h28.17.144117 +0530,
,Ta_l_,Table,new,,,,,0,12,12,15,87.13550570000007,,,,,,,,87.09982940000009,87.13550570000007,87.13550570000007,87.13550570000007,0.00951819999863801,91.3700874999995,Table,[0.022222222222222223],[-0.3],[1],[0],[0],[4.260074599998916],['text_3'],01,001,2024-10-25_11h28.04.810,Session7_WordPriming,2024.1.5,None,2024-10-25 11h28.17.144117 +0530,
,K_y_,Keys,old ,,,,,0,13,13,8,91.42660090000027,,,,,,,,91.37274760000037,91.42660090000027,91.42660090000027,91.42660090000027,0.02091180000024906,97.58193670000037,Keys,[0.06111111111111111],[-0.3074074074074074],[1],[0],[0],[6.1874740999992355],['text_3'],01,001,2024-10-25_11h28.04.810,Session7_WordPriming,2024.1.5,None,2024-10-25 11h28.17.144117 +0530,
,_ha_t,Chart,old ,,,,,0,14,14,1,97.62500639999962,,,,,,,,97.58588129999953,97.62500639999962,97.62500639999962,97.62500639999962,0.008875199999238248,100.97962799999914,Chart,[0.04814814814814815],[-0.3074074074074074],[1],[0],[0],[3.38285150000047],['text_3'],01,001,2024-10-25_11h28.04.810,Session7_WordPriming,2024.1.5,None,2024-10-25 11h28.17.144117 +0530,
,c_s_,Case,old ,,,,,0,15,15,5,101.03780670000015,,,,,,,,100.98433999999907,101.03780670000015,101.03780670000015,101.03780670000015,0.011099999999714782,104.27864740000041,Case,[0.06111111111111111],[-0.3074074074074074],[1],[0],[0],[3.2824139000003925],['text_3'],01,001,2024-10-25_11h28.04.810,Session7_WordPriming,2024.1.5,None,2024-10-25 11h28.17.144117 +0530,
,p_nc_l,Pencil,new,,,,,0,16,16,16,104.32639709999967,,,,,,,,104.28124539999953,104.32639709999967,104.32639709999967,104.32639709999967,0.010954800000035902,107.64916869999979,Pencil,[0.05925925925925926],[-0.3074074074074074],[1],[0],[0],[3.3559955000000627],['text_3'],01,001,2024-10-25_11h28.04.810,Session7_WordPriming,2024.1.5,None,2024-10-25 11h28.17.144117 +0530,
,P_as_tr_,Pastry,old ,,,,,0,17,17,4,107.70484059999944,,,,,,,,107.65136799999891,107.70484059999944,107.70484059999944,107.70484059999944,0.020218499999828055,111.88633409999966,Pastry,[0.03796296296296296],[-0.30833333333333335],[1],[0],[0],[4.214069400000881],['text_3'],01,001,2024-10-25_11h28.04.810,Session7_WordPriming,2024.1.5,None,2024-10-25 11h28.17.144117 +0530,
,P_st_r,Poster,old ,,,,,0,18,18,9,111.91684170000008,,,,,,,,111.88788989999921,111.91684170000008,111.91684170000008,111.91684170000008,0.00610910000068543,117.86185269999987,Poster,[0.025],[-0.3055555555555556],[1],[0],[0],[5.965686300000016],['text_3'],01,001,2024-10-25_11h28.04.810,Session7_WordPriming,2024.1.5,None,2024-10-25 11h28.17.144117 +0530,
,P_li_e,Police,old ,,,,,0,19,19,7,117.91221020000012,,,,,,,,117.86780969999927,117.91221020000012,117.91221020000012,117.91221020000012,0.011772500000006403,121.64980429999923,Police,[-0.024074074074074074],[-0.3055555555555556],[1],[0],[0],[3.769433699999354],['text_3'],01,001,2024-10-25_11h28.04.810,Session7_WordPriming,2024.1.5,None,2024-10-25 11h28.17.144117 +0530,
