study_word,test_word,Reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
laptop,,,,0,0,0,5,,,,,0.2403675999994448,,0.03942079999978887,0.2403675999994448,0.2403675999994448,3.8845311000004585,1,3.7620176000000356,,,,,,,,,,,,,,,01,001,2024-10-25_11h28.04.810,Session7_WordPriming,2024.1.5,None,2024-10-25 11h28.17.144117 +0530,
case,,,,0,1,1,10,,,,,3.9698740000003454,,3.889487000000372,3.9698740000003454,3.9698740000003454,5.93402690000039,2.0185185185185186,1.979494799999884,,,,,,,,,,,,,,,01,001,2024-10-25_11h28.04.810,Session7_WordPriming,2024.1.5,None,2024-10-25 11h28.17.144117 +0530,
chart,,,,0,2,2,6,,,,,5.971471900000324,,5.93444289999934,5.971471900000324,5.971471900000324,7.9692723999996815,1.9925925925925927,1.993827299998884,,,,,,,,,,,,,,,01,001,2024-10-25_11h28.04.810,Session7_WordPriming,2024.1.5,None,2024-10-25 11h28.17.144117 +0530,
marble,,,,0,3,3,3,,,,,8.01086579999901,,7.970038999999815,8.01086579999901,8.01086579999901,9.88859500000035,1,1.87279910000143,,,,,,,,,,,,,,,01,001,2024-10-25_11h28.04.810,Session7_WordPriming,2024.1.5,None,2024-10-25 11h28.17.144117 +0530,
mouse,,,,0,4,4,8,,,,,9.93624379999892,,9.889510599999994,9.93624379999892,9.93624379999892,10.96414089999962,1,1.025429699999222,,,,,,,,,,,,,,,01,001,2024-10-25_11h28.04.810,Session7_WordPriming,2024.1.5,None,2024-10-25 11h28.17.144117 +0530,
phone,,,,0,5,5,2,,,,,11.013457400000334,,10.964773100000457,11.013457400000334,11.013457400000334,12.98411970000052,2.0037037037037035,1.9747035000000324,,,,,,,,,,,,,,,01,001,2024-10-25_11h28.04.810,Session7_WordPriming,2024.1.5,None,2024-10-25 11h28.17.144117 +0530,
T-shirt,,,,0,6,6,7,,,,,13.030436499999269,,12.984648899999229,13.030436499999269,13.030436499999269,13.978935699999056,2.0037037037037035,0.9522106999993412,,,,,,,,,,,,,,,01,001,2024-10-25_11h28.04.810,Session7_WordPriming,2024.1.5,None,2024-10-25 11h28.17.144117 +0530,
cushion,,,,0,7,7,1,,,,,14.010247099999106,,13.979349100000036,14.010247099999106,14.010247099999106,16.005994600000122,1.9962962962962962,1.9881571000005351,,,,,,,,,,,,,,,01,001,2024-10-25_11h28.04.810,Session7_WordPriming,2024.1.5,None,2024-10-25 11h28.17.144117 +0530,
police,,,,0,8,8,12,,,,,16.04005809999944,,16.006848699998955,16.04005809999944,16.04005809999944,17.605296499999895,1,1.5325709999997343,,,,,,,,,,,,,,,01,001,2024-10-25_11h28.04.810,Session7_WordPriming,2024.1.5,None,2024-10-25 11h28.17.144117 +0530,
pastry,,,,0,9,9,9,,,,,17.65077079999901,,17.606538899999578,17.65077079999901,17.65077079999901,18.769991199998913,1,1.1056575999991765,,,,,,,,,,,,,,,01,001,2024-10-25_11h28.04.810,Session7_WordPriming,2024.1.5,None,2024-10-25 11h28.17.144117 +0530,
