Words,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,WordDisplay.started,text.started,WordDisplay.stopped,text.stopped,trial.stopped,Recall.started,text_2.started,textbox.started,text_3.started,mouse.started,Recall.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Candle,0,0,0,0,,,,,0.03516009997110814,,0.021427299943752587,0.03516009997110814,2.006787099991925,2.0401781999971718,3.506193900015205,3.4911404999438673,,,,,,,,,,,,,,,002,001,2024-12-04_12h01.38.094,WordPrimacy,2024.1.5,None,2024-12-04 12h01.56.062790 +0530,
Chair,0,1,1,1,,,,,3.506193900015205,,3.491719599929638,3.506193900015205,5.506068899994716,5.506068899994716,7.018304800032638,6.991448999964632,,,,,,,,,,,,,,,002,001,2024-12-04_12h01.38.094,WordPrimacy,2024.1.5,None,2024-12-04 12h01.56.062790 +0530,
Guitar,0,2,2,2,,,,,7.018304800032638,,6.992444599978626,7.018304800032638,9.006471800035797,9.023139599943534,10.510134999989532,10.490833599935286,,,,,,,,,,,,,,,002,001,2024-12-04_12h01.38.094,WordPrimacy,2024.1.5,None,2024-12-04 12h01.56.062790 +0530,
River,0,3,3,3,,,,,10.510134999989532,,10.491753699956462,10.510134999989532,12.506059600040317,12.522600100026466,14.014628799981438,13.990638199960813,,,,,,,,,,,,,,,002,001,2024-12-04_12h01.38.094,WordPrimacy,2024.1.5,None,2024-12-04 12h01.56.062790 +0530,
Ballon,0,4,4,4,,,,,14.014628799981438,,13.991529899998568,14.014628799981438,16.005572199937887,16.022192199947312,17.517766500008292,17.49031699995976,,,,,,,,,,,,,,,002,001,2024-12-04_12h01.38.094,WordPrimacy,2024.1.5,None,2024-12-04 12h01.56.062790 +0530,
Jacket,0,5,5,5,,,,,17.517766500008292,,17.491319100023247,17.517766500008292,19.505265399930067,19.521753099979833,21.015217100037262,20.989796499954537,,,,,,,,,,,,,,,002,001,2024-12-04_12h01.38.094,WordPrimacy,2024.1.5,None,2024-12-04 12h01.56.062790 +0530,
Apple,0,6,6,6,,,,,21.015217100037262,,20.990704099996947,21.015217100037262,23.00453109992668,23.02108830003999,24.510283899959177,24.488148999982513,,,,,,,,,,,,,,,002,001,2024-12-04_12h01.38.094,WordPrimacy,2024.1.5,None,2024-12-04 12h01.56.062790 +0530,
Mountain,0,7,7,7,,,,,24.510283899959177,,24.48884859995451,24.510283899959177,26.50418719998561,26.520864599966444,28.016055700019933,27.98914139997214,,,,,,,,,,,,,,,002,001,2024-12-04_12h01.38.094,WordPrimacy,2024.1.5,None,2024-12-04 12h01.56.062790 +0530,
Flower,0,8,8,8,,,,,28.016055700019933,,27.990137799992226,28.016055700019933,30.003733200021088,30.020309799932875,31.51584330003243,31.488553500035778,,,,,,,,,,,,,,,002,001,2024-12-04_12h01.38.094,WordPrimacy,2024.1.5,None,2024-12-04 12h01.56.062790 +0530,
Sofa,0,9,9,9,,,,,31.51584330003243,,31.489567199954763,31.51584330003243,33.50331209995784,33.519908600021154,35.016772100003436,34.988313199952245,,,,,,,,,,,,,,,002,001,2024-12-04_12h01.38.094,WordPrimacy,2024.1.5,None,2024-12-04 12h01.56.062790 +0530,
Dog,0,10,10,10,,,,,35.016772100003436,,34.989343199995346,35.016772100003436,37.0028337999247,37.01931949995924,38.50682449992746,38.48747249995358,,,,,,,,,,,,,,,002,001,2024-12-04_12h01.38.094,WordPrimacy,2024.1.5,None,2024-12-04 12h01.56.062790 +0530,
Anger,0,11,11,11,,,,,38.50682449992746,,38.48838110000361,38.50682449992746,40.50242819997948,40.5191076999763,42.00740739994217,41.9869320000289,,,,,,,,,,,,,,,002,001,2024-12-04_12h01.38.094,WordPrimacy,2024.1.5,None,2024-12-04 12h01.56.062790 +0530,
Gardern,0,12,12,12,,,,,42.00740739994217,,41.987792199943215,42.00740739994217,44.00193979998585,44.018547900021076,45.50897960003931,45.486690199933946,,,,,,,,,,,,,,,002,001,2024-12-04_12h01.38.094,WordPrimacy,2024.1.5,None,2024-12-04 12h01.56.062790 +0530,
Sea,0,13,13,13,,,,,45.50897960003931,,45.48766220000107,45.50897960003931,47.50127230002545,47.51796690002084,49.01751389994752,48.98644849995617,,,,,,,,,,,,,,,002,001,2024-12-04_12h01.38.094,WordPrimacy,2024.1.5,None,2024-12-04 12h01.56.062790 +0530,
Project,0,14,14,14,,,,,49.01751389994752,,48.98746169998776,49.01751389994752,51.000959099968895,51.01755809993483,52.54779999994207,52.485580799984746,,,,,,,,,,,,,,,002,001,2024-12-04_12h01.38.094,WordPrimacy,2024.1.5,None,2024-12-04 12h01.56.062790 +0530,
