Words,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,WordDisplay.started,text.started,WordDisplay.stopped,text.stopped,trial.stopped,Recall.started,text_2.started,textbox.started,text_3.started,mouse.started,Recall.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Candle,0,0,0,0,,,,,0.06638029997702688,,0.042597000021487474,0.06638029997702688,2.0052711999742314,2.0715168999740854,3.5085066999308765,3.4902065999340266,,,,,,,,,,,,,,,006,001,2024-12-04_12h12.46.494,WordPrimacy,2024.1.5,None,2024-12-04 12h13.00.680163 +0530,
Chair,0,1,1,1,,,,,3.5085066999308765,,3.4913578999694437,3.5085066999308765,5.505132899968885,5.521719599957578,7.013979999930598,6.989958500023931,,,,,,,,,,,,,,,006,001,2024-12-04_12h12.46.494,WordPrimacy,2024.1.5,None,2024-12-04 12h13.00.680163 +0530,
Guitar,0,2,2,2,,,,,7.013979999930598,,6.990829800022766,7.013979999930598,9.004913600045256,9.02170629997272,10.509064199985005,10.489611399942078,,,,,,,,,,,,,,,006,001,2024-12-04_12h12.46.494,WordPrimacy,2024.1.5,None,2024-12-04 12h13.00.680163 +0530,
River,0,3,3,3,,,,,10.509064199985005,,10.49050840002019,10.509064199985005,12.504475899972022,12.52104949997738,14.01384579995647,13.989299500011839,,,,,,,,,,,,,,,006,001,2024-12-04_12h12.46.494,WordPrimacy,2024.1.5,None,2024-12-04 12h13.00.680163 +0530,
Ballon,0,4,4,4,,,,,14.01384579995647,,13.990197099978104,14.01384579995647,16.004228099947795,16.020763600012287,17.515514299971983,17.488652299973182,,,,,,,,,,,,,,,006,001,2024-12-04_12h12.46.494,WordPrimacy,2024.1.5,None,2024-12-04 12h13.00.680163 +0530,
Jacket,0,5,5,5,,,,,17.515514299971983,,17.48956240003463,17.515514299971983,19.50383309996687,19.520347199984826,21.012118999962695,20.98813189996872,,,,,,,,,,,,,,,006,001,2024-12-04_12h12.46.494,WordPrimacy,2024.1.5,None,2024-12-04 12h13.00.680163 +0530,
Apple,0,6,6,6,,,,,21.012118999962695,,20.989118300029077,21.012118999962695,23.003084199968725,23.019872199976817,24.513316600001417,24.487785700010136,,,,,,,,,,,,,,,006,001,2024-12-04_12h12.46.494,WordPrimacy,2024.1.5,None,2024-12-04 12h13.00.680163 +0530,
Mountain,0,7,7,7,,,,,24.513316600001417,,24.488690000027418,24.513316600001417,26.502703699981794,26.519315899931826,28.017331199953333,27.987453900044784,,,,,,,,,,,,,,,006,001,2024-12-04_12h12.46.494,WordPrimacy,2024.1.5,None,2024-12-04 12h13.00.680163 +0530,
Flower,0,8,8,8,,,,,28.017331199953333,,27.988682299968787,28.017331199953333,30.002269899938256,30.01888789993245,31.51418840000406,31.487213799962774,,,,,,,,,,,,,,,006,001,2024-12-04_12h12.46.494,WordPrimacy,2024.1.5,None,2024-12-04 12h13.00.680163 +0530,
Sofa,0,9,9,9,,,,,31.51418840000406,,31.488332999986596,31.51418840000406,33.501865199999884,33.51859739993233,35.01273890002631,34.98648850002792,,,,,,,,,,,,,,,006,001,2024-12-04_12h12.46.494,WordPrimacy,2024.1.5,None,2024-12-04 12h13.00.680163 +0530,
Dog,0,10,10,10,,,,,35.01273890002631,,34.98763680004049,35.01273890002631,37.00138709996827,37.01780549995601,38.505269399960525,38.48589460004587,,,,,,,,,,,,,,,006,001,2024-12-04_12h12.46.494,WordPrimacy,2024.1.5,None,2024-12-04 12h13.00.680163 +0530,
Anger,0,11,11,11,,,,,38.505269399960525,,38.486794400028884,38.505269399960525,40.500997700029984,40.51765669998713,42.004814699990675,41.98539569997229,,,,,,,,,,,,,,,006,001,2024-12-04_12h12.46.494,WordPrimacy,2024.1.5,None,2024-12-04 12h13.00.680163 +0530,
Gardern,0,12,12,12,,,,,42.004814699990675,,41.98627430002671,42.004814699990675,44.00048980000429,44.017049100017175,45.506292399950325,45.48535640002228,,,,,,,,,,,,,,,006,001,2024-12-04_12h12.46.494,WordPrimacy,2024.1.5,None,2024-12-04 12h13.00.680163 +0530,
Sea,0,13,13,13,,,,,45.506292399950325,,45.48637970001437,45.506292399950325,47.51655930001289,47.51655930001289,49.04131470003631,49.00142909993883,,,,,,,,,,,,,,,006,001,2024-12-04_12h12.46.494,WordPrimacy,2024.1.5,None,2024-12-04 12h13.00.680163 +0530,
Project,0,14,14,14,,,,,49.04131470003631,,49.00281289999839,49.04131470003631,51.016151499934494,51.04946370003745,52.56556120002642,52.501085600000806,,,,,,,,,,,,,,,006,001,2024-12-04_12h12.46.494,WordPrimacy,2024.1.5,None,2024-12-04 12h13.00.680163 +0530,
,,,,,0,0,0,0,52.56556120002642,,,,,,,,52.504034199984744,52.56556120002642,52.56556120002642,52.56556120002642,0.00519449997227639,59.45894909999333,chair,[-0.05462962962962963],[-0.30185185185185187],[1],[0],[0],[6.951008000061847],['text_3'],006,001,2024-12-04_12h12.46.494,WordPrimacy,2024.1.5,None,2024-12-04 12h13.00.680163 +0530,
,,,,,1,0,1,0,59.50735830003396,,,,,,,,59.466068399953656,59.50735830003396,59.50735830003396,59.50735830003396,0.0035954000195488334,67.61307359999046,sea,[-0.07407407407407407],[-0.30277777777777776],[1],[0],[0],[8.142108000000007],['text_3'],006,001,2024-12-04_12h12.46.494,WordPrimacy,2024.1.5,None,2024-12-04 12h13.00.680163 +0530,
,,,,,2,0,2,0,67.64879210002255,,,,,,,,67.61634059995413,67.64879210002255,67.64879210002255,67.64879210002255,0.0030830000760033727,71.22433240001556,project,[-0.07407407407407407],[-0.30277777777777776],[1],[0],[0],[3.603940900065936],['text_3'],006,001,2024-12-04_12h12.46.494,WordPrimacy,2024.1.5,None,2024-12-04 12h13.00.680163 +0530,
,,,,,3,0,3,0,71.26169099996332,,,,,,,,71.22771510004532,71.26169099996332,71.26169099996332,71.26169099996332,0.0031868000514805317,74.37021550000645,gardern,[-0.07685185185185185],[-0.30277777777777776],[1],[0],[0],[3.1385986000532284],['text_3'],006,001,2024-12-04_12h12.46.494,WordPrimacy,2024.1.5,None,2024-12-04 12h13.00.680163 +0530,
,,,,,4,0,4,0,74.40779299999122,,,,,,,,74.37340119993314,74.40779299999122,74.40779299999122,74.40779299999122,0.0025218999944627285,77.19766129995696,candle,[-0.1037037037037037],[-0.3074074074074074],[1],[0],[0],[2.8212765000062063],['text_3'],006,001,2024-12-04_12h12.46.494,WordPrimacy,2024.1.5,None,2024-12-04 12h13.00.680163 +0530,
,,,,,5,0,5,0,77.22102479997557,,,,,,,,77.19972150004469,77.22102479997557,77.22102479997557,77.22102479997557,0.001547600026242435,80.35125950002111,dog,[-0.11203703703703703],[-0.3074074074074074],[1],[0],[0],[3.1489809000631794],['text_3'],006,001,2024-12-04_12h12.46.494,WordPrimacy,2024.1.5,None,2024-12-04 12h13.00.680163 +0530,
,,,,,6,0,6,0,80.38884299993515,,,,,,,,80.35468220000621,80.38884299993515,80.38884299993515,80.38884299993515,0.002500499947927892,82.9838383999886,sofa,[-0.11203703703703703],[-0.3074074074074074],[1],[0],[0],[2.6258618000429124],['text_3'],006,001,2024-12-04_12h12.46.494,WordPrimacy,2024.1.5,None,2024-12-04 12h13.00.680163 +0530,
,,,,,7,0,7,0,83.02141010004561,,,,,,,,82.98750909999944,83.02141010004561,83.02141010004561,83.02141010004561,0.0028522999491542578,86.684739899938,mountain,[-0.027777777777777776],[-0.29907407407407405],[1],[0],[0],[3.693686299957335],['text_3'],006,001,2024-12-04_12h12.46.494,WordPrimacy,2024.1.5,None,2024-12-04 12h13.00.680163 +0530,
