Words,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,WordDisplay.started,text.started,WordDisplay.stopped,text.stopped,trial.stopped,Recall.started,text_2.started,textbox.started,text_3.started,mouse.started,Recall.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Candle,0,0,0,0,,,,,0.028035099967382848,,0.01818060001824051,0.028035099967382848,2.0043723999988288,2.0376190999522805,3.506445199949667,3.488876099931076,,,,,,,,,,,,,,,001,001,2024-12-04_11h59.19.973,WordPrimacy,2024.1.5,None,2024-12-04 11h59.32.267061 +0530,
Chair,0,1,1,1,,,,,3.506445199949667,,3.4897545999847353,3.506445199949667,5.5037064999341965,5.5202120000030845,7.015505599905737,6.988828899920918,,,,,,,,,,,,,,,001,001,2024-12-04_11h59.19.973,WordPrimacy,2024.1.5,None,2024-12-04 11h59.32.267061 +0530,
Guitar,0,2,2,2,,,,,7.015505599905737,,6.989808999933302,7.015505599905737,9.004035199992359,9.020644899923354,10.50810829992406,10.488630799925886,,,,,,,,,,,,,,,001,001,2024-12-04_11h59.19.973,WordPrimacy,2024.1.5,None,2024-12-04 11h59.32.267061 +0530,
River,0,3,3,3,,,,,10.50810829992406,,10.489552299957722,10.50810829992406,12.503480999963358,12.520031599909998,14.01544330001343,13.988337599905208,,,,,,,,,,,,,,,001,001,2024-12-04_11h59.19.973,WordPrimacy,2024.1.5,None,2024-12-04 11h59.32.267061 +0530,
Ballon,0,4,4,4,,,,,14.01544330001343,,13.98935139994137,14.01544330001343,16.003038999973796,16.019496799912304,17.515156899928115,17.48788029991556,,,,,,,,,,,,,,,001,001,2024-12-04_11h59.19.973,WordPrimacy,2024.1.5,None,2024-12-04 11h59.32.267061 +0530,
Jacket,0,5,5,5,,,,,17.515156899928115,,17.488870800007135,17.515156899928115,19.502615900011733,19.519304299959913,21.01069489994552,20.98712359997444,,,,,,,,,,,,,,,001,001,2024-12-04_11h59.19.973,WordPrimacy,2024.1.5,None,2024-12-04 11h59.32.267061 +0530,
Apple,0,6,6,6,,,,,21.01069489994552,,20.98810879990924,21.01069489994552,23.00213919999078,23.018757699988782,24.51116140000522,24.486490799929015,,,,,,,,,,,,,,,001,001,2024-12-04_11h59.19.973,WordPrimacy,2024.1.5,None,2024-12-04 11h59.32.267061 +0530,
Mountain,0,7,7,7,,,,,24.51116140000522,,24.487376099918038,24.51116140000522,26.501480899984017,26.51814729999751,28.010938599938527,27.98606069991365,,,,,,,,,,,,,,,001,001,2024-12-04_11h59.19.973,WordPrimacy,2024.1.5,None,2024-12-04 11h59.32.267061 +0530,
Flower,0,8,8,8,,,,,28.010938599938527,,27.98693579994142,28.010938599938527,30.001083299983293,30.017693299916573,31.51320789998863,31.486142199952155,,,,,,,,,,,,,,,001,001,2024-12-04_11h59.19.973,WordPrimacy,2024.1.5,None,2024-12-04 11h59.32.267061 +0530,
Sofa,0,9,9,9,,,,,31.51320789998863,,31.487155199982226,31.51320789998863,33.50079179997556,33.517310899915174,35.01121579995379,34.985214499989524,,,,,,,,,,,,,,,001,001,2024-12-04_11h59.19.973,WordPrimacy,2024.1.5,None,2024-12-04 11h59.32.267061 +0530,
Dog,0,10,10,10,,,,,35.01121579995379,,34.98607559991069,35.01121579995379,37.00027159997262,37.01678299997002,38.504788899910636,38.48482759995386,,,,,,,,,,,,,,,001,001,2024-12-04_11h59.19.973,WordPrimacy,2024.1.5,None,2024-12-04 11h59.32.267061 +0530,
Anger,0,11,11,11,,,,,38.504788899910636,,38.48572260001674,38.504788899910636,40.49972819990944,40.516433399985544,42.004144400008954,41.984438200015575,,,,,,,,,,,,,,,001,001,2024-12-04_11h59.19.973,WordPrimacy,2024.1.5,None,2024-12-04 11h59.32.267061 +0530,
Gardern,0,12,12,12,,,,,42.004144400008954,,41.98531799996272,42.004144400008954,44.01593619992491,44.01593619992491,45.51950429996941,45.5006296999054,,,,,,,,,,,,,,,001,001,2024-12-04_11h59.19.973,WordPrimacy,2024.1.5,None,2024-12-04 11h59.32.267061 +0530,
Sea,0,13,13,13,,,,,45.51950429996941,,45.501506299944595,45.51950429996941,47.515095999930054,47.531782099977136,49.02845939993858,49.00002899998799,,,,,,,,,,,,,,,001,001,2024-12-04_11h59.19.973,WordPrimacy,2024.1.5,None,2024-12-04 11h59.32.267061 +0530,
Project,0,14,14,14,,,,,49.02845939993858,,49.000874100020155,49.02845939993858,51.01502419996541,51.031644199974835,52.56454549997579,52.499852799926884,,,,,,,,,,,,,,,001,001,2024-12-04_11h59.19.973,WordPrimacy,2024.1.5,None,2024-12-04 11h59.32.267061 +0530,
,,,,,0,0,0,0,52.56454549997579,,,,,,,,52.50312709994614,52.56454549997579,52.56454549997579,52.56454549997579,0.0048834000481292605,58.8835826999275,Project,[-0.025],[-0.30185185185185187],[1],[0],[0],[6.377020200015977],['text_3'],001,001,2024-12-04_11h59.19.973,WordPrimacy,2024.1.5,None,2024-12-04 11h59.32.267061 +0530,
,,,,,1,0,1,0,58.90977369993925,,,,,,,,58.88689009996597,58.90977369993925,58.90977369993925,58.90977369993925,0.0016182000981643796,62.249759499914944,Gardern,[0.011111111111111112],[-0.32407407407407407],[1],[0],[0],[3.360242999973707],['text_3'],001,001,2024-12-04_11h59.19.973,WordPrimacy,2024.1.5,None,2024-12-04 11h59.32.267061 +0530,
,,,,,2,0,2,0,62.29462019994389,,,,,,,,62.25428839994129,62.29462019994389,62.29462019994389,62.29462019994389,0.002680000034160912,64.68217519996688,Sea,[0.04722222222222222],[-0.3175925925925926],[1],[0],[0],[2.4243928999640048],['text_3'],001,001,2024-12-04_11h59.19.973,WordPrimacy,2024.1.5,None,2024-12-04 11h59.32.267061 +0530,
,,,,,3,0,3,0,64.71464699995704,,,,,,,,64.68523289996665,64.71464699995704,64.71464699995704,64.71464699995704,0.002243499970063567,67.08800250000786,Apple,[0.04722222222222222],[-0.3175925925925926],[1],[0],[0],[2.3993628999451175],['text_3'],001,001,2024-12-04_11h59.19.973,WordPrimacy,2024.1.5,None,2024-12-04 11h59.32.267061 +0530,
,,,,,4,0,4,0,67.1282311999239,,,,,,,,67.09139999991748,67.1282311999239,67.1282311999239,67.1282311999239,0.0025289999321103096,70.27253189997282,Chair,[0.06759259259259259],[-0.31203703703703706],[1],[0],[0],[3.1776181999593973],['text_3'],001,001,2024-12-04_11h59.19.973,WordPrimacy,2024.1.5,None,2024-12-04 11h59.32.267061 +0530,
,,,,,5,0,5,0,70.32201969996095,,,,,,,,70.27734809997492,70.32201969996095,70.32201969996095,70.32201969996095,0.003659699927084148,75.15327889996115,Candle,[0.11851851851851852],[-0.28425925925925927],[1],[0],[0],[4.871634699986316],['text_3'],001,001,2024-12-04_11h59.19.973,WordPrimacy,2024.1.5,None,2024-12-04 11h59.32.267061 +0530,
,,,,,6,0,6,0,75.1927347999299,,,,,,,,75.15701550000813,75.1927347999299,75.1927347999299,75.1927347999299,0.0029052000027149916,79.15929169999436,Guitar,[0.10648148148148148],[-0.30925925925925923],[1],[0],[0],[3.99757710006088],['text_3'],001,001,2024-12-04_11h59.19.973,WordPrimacy,2024.1.5,None,2024-12-04 11h59.32.267061 +0530,
,,,,,7,0,7,0,79.19626699993387,,,,,,,,79.16322959994432,79.19626699993387,79.19626699993387,79.19626699993387,0.002388700027950108,85.89616769994609,Ballon,[0.08703703703703704],[-0.30925925925925923],[1],[0],[0],[6.730087799951434],['text_3'],001,001,2024-12-04_11h59.19.973,WordPrimacy,2024.1.5,None,2024-12-04 11h59.32.267061 +0530,
,,,,,8,0,8,0,85.9197885999456,,,,,,,,85.89902929996606,85.9197885999456,85.9197885999456,85.9197885999456,0.002064500004053116,97.3378680999158,Sofa,[0.05925925925925926],[-0.3037037037037037],[1],[0],[0],[11.436243499978445],['text_3'],001,001,2024-12-04_11h59.19.973,WordPrimacy,2024.1.5,None,2024-12-04 11h59.32.267061 +0530,
,,,,,9,0,9,0,97.36391660000663,,,,,,,,97.3403391999891,97.36391660000663,97.36391660000663,97.36391660000663,0.0022788000060245395,101.51022309996188,Dog,[0.05925925925925926],[-0.3037037037037037],[1],[0],[0],[4.166802200023085],['text_3'],001,001,2024-12-04_11h59.19.973,WordPrimacy,2024.1.5,None,2024-12-04 11h59.32.267061 +0530,
,,,,,,,,,101.55189519992564,,,,,,,,101.51417139999103,101.55189519992564,101.55189519992564,101.55189519992564,0.004592600045725703,,,,,,,,,,,,,,,,,
