Words,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,WordDisplay.started,text.started,WordDisplay.stopped,text.stopped,trial.stopped,Recall.started,text_2.started,textbox.started,text_3.started,mouse.started,Recall.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Candle,0,0,0,0,,,,,0.06529639998916537,,0.04236790002323687,0.06529639998916537,2.012298300047405,2.078933299984783,3.5138062000041828,3.4968265000497922,,,,,,,,,,,,,,,005,001,2024-12-04_12h10.28.665,WordPrimacy,2024.1.5,None,2024-12-04 12h10.41.791116 +0530,
Chair,0,1,1,1,,,,,3.5138062000041828,,3.497734499978833,3.5138062000041828,5.512245999998413,5.52863710001111,7.0226545999757946,6.997167199966498,,,,,,,,,,,,,,,005,001,2024-12-04_12h10.28.665,WordPrimacy,2024.1.5,None,2024-12-04 12h10.41.791116 +0530,
Guitar,0,2,2,2,,,,,7.0226545999757946,,6.998066600062884,7.0226545999757946,9.011512099998072,9.028345600003377,10.516640800051391,10.496565700042993,,,,,,,,,,,,,,,005,001,2024-12-04_12h10.28.665,WordPrimacy,2024.1.5,None,2024-12-04 12h10.41.791116 +0530,
River,0,3,3,3,,,,,10.516640800051391,,10.497507099993527,10.516640800051391,12.511499100015499,12.528088100021705,14.020956399966963,13.996000200044364,,,,,,,,,,,,,,,005,001,2024-12-04_12h10.28.665,WordPrimacy,2024.1.5,None,2024-12-04 12h10.41.791116 +0530,
Ballon,0,4,4,4,,,,,14.020956399966963,,13.99689720000606,14.020956399966963,16.0113867999753,16.027690300019458,17.524627099977806,17.496237899991684,,,,,,,,,,,,,,,005,001,2024-12-04_12h10.28.665,WordPrimacy,2024.1.5,None,2024-12-04 12h10.41.791116 +0530,
Jacket,0,5,5,5,,,,,17.524627099977806,,17.49735740001779,17.524627099977806,19.51058430003468,19.527175800059922,21.01987319998443,20.995183199993335,,,,,,,,,,,,,,,005,001,2024-12-04_12h10.28.665,WordPrimacy,2024.1.5,None,2024-12-04 12h10.41.791116 +0530,
Apple,0,6,6,6,,,,,21.01987319998443,,20.996149500017054,21.01987319998443,23.01012270001229,23.026727300020866,24.52267610002309,24.494677599985152,,,,,,,,,,,,,,,005,001,2024-12-04_12h10.28.665,WordPrimacy,2024.1.5,None,2024-12-04 12h10.41.791116 +0530,
Mountain,0,7,7,7,,,,,24.52267610002309,,24.495754100033082,24.52267610002309,26.509285400039516,26.52591129997745,28.023001700057648,27.994443799951114,,,,,,,,,,,,,,,005,001,2024-12-04_12h10.28.665,WordPrimacy,2024.1.5,None,2024-12-04 12h10.41.791116 +0530,
Flower,0,8,8,8,,,,,28.023001700057648,,27.99552570004016,28.023001700057648,30.008545799995773,30.02534120006021,31.51695399999153,31.49340649996884,,,,,,,,,,,,,,,005,001,2024-12-04_12h10.28.665,WordPrimacy,2024.1.5,None,2024-12-04 12h10.41.791116 +0530,
Sofa,0,9,9,9,,,,,31.51695399999153,,31.494281099992804,31.51695399999153,33.508764400030486,33.52546439995058,35.023741099983454,34.993683099979535,,,,,,,,,,,,,,,005,001,2024-12-04_12h10.28.665,WordPrimacy,2024.1.5,None,2024-12-04 12h10.41.791116 +0530,
