Words,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,WordDisplay.started,text.started,WordDisplay.stopped,text.stopped,trial.stopped,Recall.started,text_2.started,textbox.started,text_3.started,mouse.started,Recall.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Candle,0,0,0,0,,,,,0.021533300052396953,,0.014684800058603287,0.021533300052396953,2.008635500096716,2.0252454000292346,3.5121273000258952,3.4932316000340506,,,,,,,,,,,,,,,433782,001,2024-12-04_12h04.02.279,WordPrimacy,2024.1.5,None,2024-12-04 12h04.13.059181 +0530,
Chair,0,1,1,1,,,,,3.5121273000258952,,3.494146200013347,3.5121273000258952,5.508042200002819,5.524649700033478,7.016397200059146,6.992790700052865,,,,,,,,,,,,,,,433782,001,2024-12-04_12h04.02.279,WordPrimacy,2024.1.5,None,2024-12-04 12h04.13.059181 +0530,
Guitar,0,2,2,2,,,,,7.016397200059146,,6.993654899997637,7.016397200059146,9.008117399993353,9.024568499997258,10.514296700013801,10.492837100056931,,,,,,,,,,,,,,,433782,001,2024-12-04_12h04.02.279,WordPrimacy,2024.1.5,None,2024-12-04 12h04.13.059181 +0530,
River,0,3,3,3,,,,,10.514296700013801,,10.493762900005095,10.514296700013801,12.507467500050552,12.524130300036632,14.020187700050883,13.992677500005811,,,,,,,,,,,,,,,433782,001,2024-12-04_12h04.02.279,WordPrimacy,2024.1.5,None,2024-12-04 12h04.13.059181 +0530,
Ballon,0,4,4,4,,,,,14.020187700050883,,13.99368900002446,14.020187700050883,16.007408100063913,16.023942100000568,17.525150700006634,17.49211810005363,,,,,,,,,,,,,,,433782,001,2024-12-04_12h04.02.279,WordPrimacy,2024.1.5,None,2024-12-04 12h04.13.059181 +0530,
Jacket,0,5,5,5,,,,,17.525150700006634,,17.493337100022472,17.525150700006634,19.50703030009754,19.540170400054194,21.015309700043872,20.991598900058307,,,,,,,,,,,,,,,433782,001,2024-12-04_12h04.02.279,WordPrimacy,2024.1.5,None,2024-12-04 12h04.13.059181 +0530,
Apple,0,6,6,6,,,,,21.015309700043872,,20.992550200084224,21.015309700043872,23.006588999996893,23.02308300009463,24.51681510009803,24.49104210000951,,,,,,,,,,,,,,,433782,001,2024-12-04_12h04.02.279,WordPrimacy,2024.1.5,None,2024-12-04 12h04.13.059181 +0530,
Mountain,0,7,7,7,,,,,24.51681510009803,,24.491898200009018,24.51681510009803,26.506096700089984,26.522585300030187,28.018017500056885,27.99100240005646,,,,,,,,,,,,,,,433782,001,2024-12-04_12h04.02.279,WordPrimacy,2024.1.5,None,2024-12-04 12h04.13.059181 +0530,
Flower,0,8,8,8,,,,,28.018017500056885,,27.99202480004169,28.018017500056885,30.005560100078583,30.02216540009249,31.514089800068177,31.490182700101286,,,,,,,,,,,,,,,433782,001,2024-12-04_12h04.02.279,WordPrimacy,2024.1.5,None,2024-12-04 12h04.13.059181 +0530,
Sofa,0,9,9,9,,,,,31.514089800068177,,31.491045400034636,31.514089800068177,33.50521570001729,33.52174560003914,35.015153100015596,34.98978000006173,,,,,,,,,,,,,,,433782,001,2024-12-04_12h04.02.279,WordPrimacy,2024.1.5,None,2024-12-04 12h04.13.059181 +0530,
